	105105_RL1500000801-1	105118_RL1500008301-1	105127_RL1500009601-1	105133_RL1500010201-1	105143_RL1500011701-1	150931_RL1500043702-1	153284_RL1500044001-2	153484_RL1500044101-1	153485_RL1500044201-1	153490_RL1500044701-1	153492_RL1500044901-1	163370_RL1500135001-2	165028_RL1500051101-1	165056_RL1500064902-1	172372_RL1500155801-2	175657_RL1500166101-2	176145_RL1500158901-1	176191_RL1500166301-1	176359_RL1500166801-1	176360_RL1500166601-1	176363_RL1500166501-1	176366_RL1500166401-1	176372_RL1500157101-1	176375_RL1500166701-1	176435_RL1500165601-1	176440_RL1500165701-1	176442_RL1500165801-1	176445_RL1500166001-1	176446_RL1500166201-1	176447_RL1500165901-1	177549_RL1500155901-2	177553_RL1500157001-2	177557_RL1500157501-2	177559_RL1500157701-2	177564_RL1500162101-2	188215_RL1500007101-1	FR733650	RL15003024
F.RL15000449	159	160	30171	140	138	2	30175	30166	30161	30151	0	30170	30347	8570	8561	218	214	218	218	215	218	214	8558	214	218	214	218	217	220	217	125	8581	8585	30052	30229	185	30449	8695
F.RL15001350	26992	29651	3137	29722	29596	30706	256	246	249	254	30170	0	4057	31543	31476	30527	30556	30703	30749	30597	30700	30311	31304	30628	30546	30643	30690	30698	30662	30612	30629	31690	31640	100	295	31107	4370	32810
F.RL15000511	27132	29790	104	29876	29743	30889	3174	3162	3172	3146	30347	4057	0	31550	31540	30726	30769	30915	30970	30811	30919	30515	32123	30848	30760	30856	30901	30919	30884	30823	30779	32536	32483	3131	3244	31313	1153	32887
F.RL15000649	8166	8686	31308	8648	8676	8608	31487	31480	31480	31469	8570	31543	31550	0	130	8848	8844	8842	8886	8845	8864	8830	121	8852	8856	8865	8861	8864	8865	8847	8743	115	116	31407	31642	8765	31836	162
S.RL15001558	8062	8555	31285	8528	8562	8600	31482	31474	31472	31461	8561	31476	31540	130	0	8719	8715	8715	8758	8718	8736	8704	49	8723	8728	8737	8735	8736	8737	8721	8632	44	45	31380	31532	8650	31722	121
O.RL15001661	270	297	30326	327	328	251	30503	30482	30494	30480	218	30527	30726	8848	8719	0	4	0	0	0	0	0	8826	5	5	2	0	1	2	2	333	8846	8850	30268	30460	315	30938	8850
S.RL15001589	268	295	30357	325	326	247	30534	30514	30525	30512	214	30556	30769	8844	8715	4	0	4	4	4	4	4	8822	1	7	6	4	5	6	6	329	8841	8846	30298	30491	313	30983	8843
O.RL15001663	271	303	30490	333	334	251	30679	30659	30670	30656	218	30703	30915	8842	8715	0	4	0	0	0	0	0	8822	5	5	2	0	1	2	2	335	8850	8846	30442	30635	317	31128	8844
O.RL15001668	271	302	30549	333	334	251	30725	30704	30715	30704	218	30749	30970	8886	8758	0	4	0	0	0	0	0	8864	5	5	2	0	1	2	2	337	8885	8888	30487	30681	317	31185	8887
O.RL15001666	270	295	30396	322	323	248	30566	30545	30560	30544	215	30597	30811	8845	8718	0	4	0	0	0	0	0	8825	5	5	2	0	1	2	2	328	8846	8849	30339	30527	313	31023	8845
O.RL15001665	270	301	30506	331	332	251	30675	30654	30665	30652	218	30700	30919	8864	8736	0	4	0	0	0	0	0	8843	5	5	2	0	1	2	2	337	8864	8867	30438	30630	316	31134	8867
O.RL15001664	271	297	30119	323	324	247	30281	30261	30275	30260	214	30311	30515	8830	8704	0	4	0	0	0	0	0	8811	5	5	2	0	1	2	2	327	8830	8835	30055	30244	315	30725	8825
S.RL15001571	8058	8548	31050	8558	8590	8604	31258	31240	31248	31236	8558	31304	32123	121	49	8826	8822	8822	8864	8825	8843	8811	0	8830	8835	8846	8842	8843	8845	8828	8663	0	1	31115	31264	9403	32520	135
O.RL15001667	269	295	30424	325	326	247	30603	30583	30595	30580	214	30628	30848	8852	8723	5	1	5	5	5	5	5	8830	0	8	7	5	6	7	7	327	8849	8854	30368	30560	311	31060	8853
O.RL15001656	272	298	30341	327	328	251	30521	30500	30512	30498	218	30546	30760	8856	8728	5	7	5	5	5	5	5	8835	8	0	7	5	6	7	7	333	8854	8859	30289	30478	316	30973	8858
O.RL15001657	269	296	30446	324	325	248	30617	30596	30608	30594	214	30643	30856	8865	8737	2	6	2	2	2	2	2	8846	7	7	0	2	3	4	4	330	8865	8869	30386	30576	314	31068	8863
O.RL15001658	271	302	30482	332	333	251	30664	30643	30654	30641	218	30690	30901	8861	8735	0	4	0	0	0	0	0	8842	5	5	2	0	1	2	2	336	8862	8866	30428	30620	317	31115	8864
O.RL15001660	272	298	30500	328	329	250	30674	30653	30665	30651	217	30698	30919	8864	8736	1	5	1	1	1	1	1	8843	6	6	3	1	0	3	3	332	8863	8867	30440	30631	316	31131	8862
O.RL15001662	272	300	30468	329	330	253	30633	30612	30625	30611	220	30662	30884	8865	8737	2	6	2	2	2	2	2	8845	7	7	4	2	3	0	4	335	8866	8869	30401	30593	318	31097	8863
O.RL15001659	272	297	30413	324	325	250	30582	30562	30576	30560	217	30612	30823	8847	8721	2	6	2	2	2	2	2	8828	7	7	4	2	3	4	0	330	8847	8852	30355	30542	315	31039	8846
S.RL15001559	137	235	30534	65	64	148	30605	30589	30595	30586	125	30629	30779	8743	8632	333	329	335	337	328	337	327	8663	327	333	330	336	332	335	330	0	8683	8687	30468	30675	229	30959	8759
S.RL15001570	8069	8576	31457	8578	8609	8621	31640	31622	31630	31618	8581	31690	32536	115	44	8846	8841	8850	8885	8846	8864	8830	0	8849	8854	8865	8862	8863	8866	8847	8683	0	1	31499	31645	9452	32954	129
S.RL15001575	8079	8578	31385	8589	8615	8625	31588	31570	31578	31566	8585	31640	32483	116	45	8850	8846	8846	8888	8849	8867	8835	1	8854	8859	8869	8866	8867	8869	8852	8687	1	0	31449	31596	9458	32911	130
S.RL15001577	26876	29518	3117	29579	29459	30567	55	55	53	56	30052	100	3131	31407	31380	30268	30298	30442	30487	30339	30438	30055	31115	30368	30289	30386	30428	30440	30401	30355	30468	31499	31449	0	67	30288	3184	32683
S.RL15001621	26985	29646	3201	29766	29633	30769	190	181	186	190	30229	295	3244	31642	31532	30460	30491	30635	30681	30527	30630	30244	31264	30560	30478	30576	30620	30631	30593	30542	30675	31645	31596	67	0	30420	3429	32927
F.RL15000071	143	4	30347	226	225	213	30415	30397	30407	30393	185	31107	31313	8765	8650	315	313	317	317	313	316	315	9403	311	316	314	317	316	318	315	229	9452	9458	30288	30420	0	31531	8810
R.FR733650	27236	29947	203	30043	29917	31010	3448	3423	3436	3415	30449	4370	1153	31836	31722	30938	30983	31128	31185	31023	31134	30725	32520	31060	30973	31068	31115	31131	31097	31039	30959	32954	32911	3184	3429	31531	0	33084
S.RL15003024	8188	8723	32647	8656	8689	8735	32816	32797	32806	32791	8695	32810	32887	162	121	8850	8843	8844	8887	8845	8867	8825	135	8853	8858	8863	8864	8862	8863	8846	8759	129	130	32683	32927	8810	33084	0
