	105151_RL1500012701-1	105155_RL1500013501-1	150668_RL1500014001-1	150671_RL1500019801-1	150881_RL1500036202-1	150908_RL1500040502-1	150909_RL1500040602-1	150910_RL1500040702-1	150913_RL1500041502-1	150925_RL1500043102-1	150926_RL1500043202-1	150927_RL1500043302-1	150928_RL1500043402-1	150929_RL1500043502-1	153525_RL1500048201-1	153545_RL1500050401-1	159973_RL1500028002-2	159988_RL1500043002-2	160015_RL1500127802-2	160017_RL1500128002-2	160026_RL1500052001-2	160050_RL1500066501-2	160065_RL1500068401-2	160068_RL1500068801-2	163333_RL1500130701-2	163360_RL1500133901-2	163363_RL1500134301-2	163365_RL1500134501-2	163368_RL1500134801-2	163372_RL1500135201-2	165020_RL1500032202-1	168134_RL1500004802-2	168138_RL1500005602-2	172329_RL1500030901-2	172338_RL1500141701-2	172340_RL1500142001-2	172342_RL1500142301-2	176125_RL1500064601-1	176143_RL1500158701-1	176146_RL1500159001-1	176152_RL1500159601-1	176192_RL1500173701-1	176196_RL1500198401-1	176391_RL1500164301-1	176394_RL1500164401-1	176439_RL1500165501-1	177527_RL1500047301-2	177545_RL1500154001-2	177569_RL1500165201-2	188219_RL1500015701-1	188222_RL1500018001-1	189884_RL1500243101-2	189888_RL1500243901-2	189891_RL1500245401-2	189897_RL1500242801-2	191977_RL1500244901-1	191978_RL1500245001-1	191979_RL1500245201-1	CP006046	RL15003029
F.RL15000432	220	83	42	67	100	41	41	79	48	2	0	3	3	4	67	74	65	3	83	42	47	74	72	47	46	68	41	49	51	68	57	228	230	67	48	48	63	66	70	74	86	61	50	68	41	70	43	83	80	224	229	80	45	79	66	75	81	46	250	115
F.RL15000433	216	80	39	64	97	38	38	76	45	1	3	0	0	1	62	70	62	0	80	39	44	70	68	44	43	65	38	46	48	65	54	224	226	64	45	45	60	63	67	71	83	58	47	65	38	67	40	80	77	220	225	77	42	76	63	72	78	43	244	110
F.RL15000434	219	80	39	64	98	38	38	77	45	1	3	0	0	1	63	70	62	0	80	40	44	71	69	44	43	65	38	47	48	65	54	227	229	64	45	45	60	63	67	71	83	58	47	66	38	68	40	80	77	223	228	77	42	76	63	72	78	43	247	114
F.RL15000435	217	81	40	65	98	39	39	77	46	2	4	1	1	0	66	73	63	1	81	40	45	72	70	45	44	66	39	47	49	66	55	225	227	65	46	46	61	64	69	72	84	59	48	66	39	68	41	81	78	221	226	78	43	78	64	73	79	44	247	111
F.RL15000482	218	67	55	65	95	63	64	78	62	64	67	62	63	66	0	35	62	61	71	56	57	71	66	60	60	64	54	61	63	49	70	226	228	55	60	60	57	78	64	65	81	57	60	63	52	62	57	76	68	225	232	76	65	41	58	72	80	59	255	129
F.RL15000504	222	74	62	72	103	70	71	85	71	70	74	70	70	73	35	0	69	69	76	63	65	78	74	69	67	72	61	69	70	58	78	230	233	62	67	67	65	85	71	73	88	64	67	70	60	69	64	84	76	229	234	84	72	50	66	79	86	66	261	133
F.RL15000280	649	276	357	299	523	258	258	397	545	63	65	62	62	63	62	69	0	62	335	345	58	403	56	376	417	63	370	257	402	361	252	690	698	62	59	59	23	402	329	229	320	20	417	64	402	334	369	78	241	758	770	459	201	111	5	442	405	441	819	325
F.RL15000430	218	80	39	64	97	38	38	76	45	1	3	0	0	1	61	69	62	0	80	39	44	71	69	44	43	65	38	46	48	65	54	226	228	64	45	45	60	63	67	71	83	58	47	65	38	67	40	80	77	222	227	77	42	75	63	72	78	43	253	112
S.RL15001278	555	343	207	389	420	382	383	261	491	81	83	80	80	81	71	76	335	80	0	202	75	401	85	220	275	80	200	295	218	396	288	592	598	37	76	76	75	265	209	344	398	72	279	309	249	329	217	95	275	674	686	445	356	97	335	435	261	390	792	397
S.RL15001280	768	373	108	670	915	229	224	311	999	41	42	39	40	40	56	63	345	39	202	0	31	308	59	112	221	57	75	114	125	797	690	872	874	55	33	33	51	272	182	229	893	49	223	341	142	63	116	71	490	924	929	1079	237	71	340	1038	315	95	1290	794
F.RL15000520	214	76	31	60	93	42	42	72	41	45	47	44	44	45	57	65	58	44	75	31	0	67	65	36	35	61	30	38	40	61	52	220	222	60	1	1	56	55	63	67	79	54	39	61	30	63	32	76	73	216	221	73	46	71	59	68	74	35	240	107
F.RL15000665	582	384	378	421	516	310	309	439	495	72	74	70	71	72	71	78	403	71	401	308	67	0	1	383	440	72	323	264	384	268	402	625	642	71	68	68	55	386	341	285	294	53	443	407	343	303	378	86	285	637	650	484	326	84	396	485	446	311	771	414
F.RL15000684	219	85	59	69	101	67	67	81	63	70	72	68	69	70	66	74	56	69	85	59	65	1	0	63	63	70	58	66	68	70	77	224	227	69	66	66	54	83	68	65	84	52	66	69	58	72	59	84	82	220	227	78	71	80	57	67	83	63	249	124
F.RL15000688	805	391	31	706	953	191	188	356	1040	45	47	44	44	45	60	69	376	44	220	112	36	383	63	0	104	61	108	135	47	827	709	921	922	60	37	37	56	170	185	235	900	54	107	369	43	64	25	76	531	946	952	1118	247	100	374	1090	360	108	1308	800
F.RL15001307	924	458	101	837	985	266	263	405	1131	44	46	43	43	44	60	67	417	43	275	221	35	440	63	104	0	60	207	249	120	898	681	1051	1058	59	36	36	55	107	218	246	886	53	3	413	129	232	105	75	672	1115	1135	1189	269	85	417	1139	409	285	1446	778
S.RL15001339	220	81	56	67	99	63	63	78	60	66	68	65	65	66	64	72	63	65	80	57	61	72	70	61	60	0	55	64	65	66	73	228	230	65	62	62	61	80	68	72	84	59	64	67	55	69	57	81	78	224	229	78	67	77	64	73	79	60	255	126
S.RL15001343	799	386	103	667	881	219	216	326	1033	39	41	38	38	39	54	61	370	38	200	75	30	323	58	108	207	55	0	120	116	761	706	901	903	54	31	31	50	272	165	239	883	48	212	367	135	64	106	70	495	954	960	1108	219	67	365	1068	329	96	1321	804
S.RL15001345	757	284	125	600	861	216	215	286	1028	48	49	46	47	47	61	69	257	46	295	114	38	264	66	135	249	64	120	0	143	759	653	876	881	62	40	40	58	336	262	230	858	56	249	237	159	69	143	78	475	931	943	1096	200	95	258	1062	289	108	1278	734
F.RL15001348	784	425	37	694	970	251	249	359	1070	49	51	48	48	49	63	70	402	48	218	125	40	384	68	47	120	65	116	143	0	865	699	886	888	64	41	41	60	207	181	236	894	58	125	378	22	70	34	80	555	953	959	1140	238	98	408	1099	360	48	1315	797
F.RL15001352	963	417	862	727	1158	265	264	469	931	66	68	65	65	66	49	58	361	65	396	797	61	268	70	827	898	66	761	759	865	0	567	1071	1078	57	62	62	61	783	362	294	619	59	907	355	852	728	874	81	828	1110	1127	1260	255	78	352	1177	467	847	1642	603
F.RL15000322	763	363	694	750	1102	209	205	292	829	55	57	54	54	55	70	78	252	54	288	690	52	402	77	709	681	73	706	653	699	567	0	833	846	72	53	53	68	609	250	242	469	66	688	241	704	691	710	88	734	880	899	1052	251	106	255	1076	295	734	1393	88
F.RL15000048	9	684	940	1198	1397	525	524	686	953	227	228	224	227	225	226	230	690	226	592	872	220	625	224	921	1051	228	901	876	886	1071	833	0	12	226	224	223	217	971	539	454	1025	214	1060	644	886	830	941	241	985	6	11	1207	529	264	696	1165	680	847	1285	803
F.RL15000056	12	690	945	1210	1378	535	534	693	960	229	230	226	229	227	228	233	698	228	598	874	222	642	227	922	1058	230	903	881	888	1078	846	12	0	228	226	225	219	986	546	454	1043	216	1069	650	890	835	943	244	995	8	13	1196	537	266	705	1155	688	850	1290	817
F.RL15000309	219	38	55	66	97	62	62	76	58	65	67	64	64	65	55	62	62	64	37	55	60	71	69	60	59	65	54	62	64	57	72	226	228	0	61	61	60	79	67	71	83	58	63	65	54	67	56	80	35	222	227	77	66	67	63	72	78	59	247	124
S.RL15001417	218	77	32	61	94	43	43	73	42	46	48	45	45	46	60	67	59	45	76	33	1	68	66	37	36	62	31	40	41	62	53	224	226	61	0	0	57	56	64	68	80	55	40	62	31	64	33	77	74	220	225	74	47	72	60	69	75	36	247	112
S.RL15001420	217	77	32	61	94	43	43	73	42	46	48	45	45	46	60	67	59	45	76	33	1	68	66	37	36	62	31	40	41	62	53	223	225	61	0	0	57	56	64	68	80	55	40	62	31	64	33	77	74	219	225	74	47	72	60	69	75	36	245	112
S.RL15001423	211	76	51	62	94	58	58	73	55	61	63	60	60	61	57	65	23	60	75	51	56	55	54	56	55	61	50	58	60	61	68	217	219	60	57	57	0	75	59	56	75	19	59	62	50	64	52	76	73	213	218	69	62	71	24	58	74	55	244	118
F.RL15000646	907	445	170	822	1008	289	286	403	1154	64	66	63	63	64	78	85	402	63	265	272	55	386	83	170	107	80	272	336	207	783	609	971	986	79	56	56	75	0	229	252	798	73	111	397	218	312	175	96	687	1029	1048	1089	276	93	401	1046	406	371	1442	700
S.RL15001587	501	327	173	332	357	356	348	184	444	68	70	67	67	69	64	71	329	67	209	182	63	341	68	185	218	68	165	262	181	362	250	539	546	67	64	64	59	229	0	255	342	57	223	304	214	313	181	83	246	620	632	414	241	92	323	418	186	373	701	357
S.RL15001590	426	254	203	250	327	294	286	282	335	72	74	71	71	72	65	73	229	71	344	229	67	285	65	235	246	72	239	230	236	294	242	454	454	71	68	68	56	252	255	0	316	53	250	229	225	276	228	87	218	525	530	333	245	114	222	296	285	359	577	316
S.RL15001596	956	366	905	891	925	271	270	357	962	84	86	83	83	84	81	88	320	83	398	893	79	294	84	900	886	84	883	858	894	619	469	1025	1043	83	80	80	75	798	342	316	0	73	889	321	869	944	901	99	870	1035	1054	1006	307	94	316	963	352	969	1323	493
S.RL15001737	207	74	49	60	91	56	56	70	51	59	61	58	58	59	57	64	20	58	72	49	54	53	52	54	53	59	48	56	58	59	66	214	216	58	55	55	19	73	57	53	73	0	57	59	48	61	50	74	71	210	215	67	60	69	21	55	72	53	236	113
F.RL15001984	928	458	105	844	993	267	264	409	1151	48	50	47	47	48	60	67	417	47	279	223	39	443	66	107	3	64	212	249	125	907	688	1060	1069	63	40	40	59	111	223	250	889	57	0	413	131	234	109	79	673	1126	1146	1203	272	88	417	1149	413	286	1454	784
S.RL15001643	602	265	349	289	444	261	261	339	540	66	68	65	66	66	63	70	64	65	309	341	61	407	69	369	413	67	367	237	378	355	241	644	650	65	62	62	62	397	304	229	321	59	413	0	402	271	369	81	224	749	761	472	189	113	65	467	379	395	798	332
S.RL15001644	780	449	52	670	954	275	273	390	1073	39	41	38	38	39	52	60	402	38	249	142	30	343	58	43	129	55	135	159	22	852	704	886	890	54	31	31	50	218	214	225	869	48	131	402	0	57	52	70	581	952	958	1143	221	68	408	1110	394	65	1300	789
S.RL15001655	743	326	60	675	830	327	326	334	968	68	70	67	68	68	62	69	334	67	329	63	63	303	72	64	232	69	64	69	70	728	691	830	835	67	64	64	64	312	313	276	944	61	234	271	57	0	60	83	468	845	852	1017	345	75	329	990	367	67	1192	748
F.RL15000473	827	404	20	714	953	228	225	362	1073	41	43	40	40	41	57	64	369	40	217	116	32	378	59	25	105	57	106	143	34	874	710	941	943	56	33	33	52	175	181	228	901	50	109	369	52	60	0	72	539	994	1000	1151	225	72	366	1113	366	106	1362	806
S.RL15001540	233	96	71	82	113	78	78	92	75	81	83	80	80	81	76	84	78	80	95	71	76	86	84	76	75	81	70	78	80	81	88	241	244	80	77	77	76	96	83	87	99	74	79	81	70	83	72	0	93	237	243	93	82	90	79	88	94	76	264	140
S.RL15001652	882	15	522	657	845	264	254	274	1042	78	80	77	77	78	68	76	241	77	275	490	73	285	82	531	672	78	495	475	555	828	734	985	995	35	74	74	73	687	246	218	870	71	673	224	581	468	539	93	0	1064	1075	1099	195	88	234	1056	275	568	1260	805
F.RL15000157	7	735	996	1235	1438	567	567	769	988	223	224	220	223	221	225	229	758	222	674	924	216	637	220	946	1115	224	954	931	953	1110	880	6	8	222	220	219	213	1029	620	525	1035	210	1126	749	952	845	994	237	1064	0	5	1237	579	269	762	1190	762	954	1332	858
F.RL15000180	12	742	1003	1248	1437	580	579	781	1003	228	229	225	228	226	232	234	770	227	686	929	221	650	227	952	1135	229	960	943	959	1127	899	11	13	227	225	225	218	1048	632	530	1054	215	1146	761	958	852	1000	243	1075	5	0	1249	591	275	776	1202	776	959	1346	879
S.RL15002431	1118	536	1152	1342	1030	369	370	545	845	78	80	77	77	78	76	84	459	77	445	1079	73	484	78	1118	1189	78	1108	1096	1140	1260	1052	1207	1196	77	74	74	69	1089	414	333	1006	67	1203	472	1143	1017	1151	93	1099	1237	1249	0	386	119	461	235	547	1149	1219	1125
S.RL15002439	494	221	218	233	365	190	181	328	376	43	45	42	42	43	65	72	201	42	356	237	46	326	71	247	269	67	219	200	238	255	251	529	537	66	47	47	62	276	241	245	307	60	272	189	221	345	225	82	195	579	591	386	0	115	193	380	335	373	641	314
S.RL15002454	240	77	92	80	144	89	90	104	107	75	79	76	76	78	41	50	111	75	97	71	71	84	80	100	85	77	67	95	98	78	106	264	266	67	72	72	71	93	92	114	94	69	88	113	68	75	72	90	88	269	275	119	115	0	109	91	106	95	297	163
S.RL15002428	657	269	357	294	519	258	258	392	552	64	66	63	63	64	58	66	5	63	335	340	59	396	57	374	417	64	365	258	408	352	255	696	705	63	60	60	24	401	323	222	316	21	417	65	408	329	366	79	234	762	776	461	193	109	0	444	399	442	823	329
S.RL15002449	1079	529	1116	1330	963	372	372	548	976	73	75	72	72	73	72	79	442	72	435	1038	68	485	67	1090	1139	73	1068	1062	1099	1177	1076	1165	1155	72	69	69	58	1046	418	296	963	55	1149	467	1110	990	1113	88	1056	1190	1202	235	380	91	444	0	550	1101	1366	1148
S.RL15002450	637	370	346	451	484	355	347	91	567	79	81	78	78	79	80	86	405	78	261	315	74	446	83	360	409	79	329	289	360	467	295	680	688	78	75	75	74	406	186	285	352	72	413	379	394	367	366	94	275	762	776	547	335	106	399	550	0	440	837	398
S.RL15002452	754	424	95	686	967	452	448	446	1097	44	46	43	43	44	59	66	441	43	390	95	35	311	63	108	285	60	96	108	48	847	734	847	850	59	36	36	55	371	373	359	969	53	286	395	65	67	106	76	568	954	959	1149	373	95	442	1101	440	0	1331	839
R.CP006046	1096	754	1375	1587	1392	668	658	835	1260	251	250	244	247	247	255	261	819	253	792	1290	240	771	249	1308	1446	255	1321	1278	1315	1642	1393	1285	1290	247	247	245	244	1442	701	577	1323	236	1454	798	1300	1192	1362	264	1260	1332	1346	1219	641	297	823	1366	837	1331	0	1339
S.RL15003029	722	435	797	768	1160	282	277	398	889	113	115	110	114	111	129	133	325	112	397	794	107	414	124	800	778	126	804	734	797	603	88	803	817	124	112	112	118	700	357	316	493	113	784	332	789	748	806	140	805	858	879	1125	314	163	329	1148	398	839	1339	0
