	150657_RL1500009001-1	150704_RL1500024901-1	150711_RL1500025601-1	150713_RL1500025801-1	150869_RL1500034902-1	153217_RL1500026101-2	153220_RL1500026401-2	160040_RL1500053401-2	160092_RL1500071401-2	175659_RL1500167901-2	175661_RL1500168601-2	176150_RL1500159401-1	176159_RL1500160301-1	176169_RL1500161301-1	176362_RL1500167301-1	176365_RL1500167201-1	176369_RL1500167101-1	176373_RL1500167001-1	176376_RL1500166901-1	176389_RL1500164801-1	176427_RL1500168401-1	176428_RL1500167501-1	176430_RL1500168501-1	176432_RL1500168101-1	176436_RL1500168201-1	176438_RL1500167601-1	176441_RL1500167801-1	176443_RL1500167701-1	176444_RL1500168001-1	176448_RL1500168301-1	176449_RL1500167401-1	177516_RL1500026501-2	177570_RL1500168701-2	ref
S.RL15001603	48	62	68	69	67	68	68	31	41	6	7	34	0	2	4	6	6	6	5	38	6	7	7	4	5	5	4	5	6	7	8	68	6	67
S.RL15001613	48	62	68	69	67	68	68	31	41	6	7	34	2	0	4	6	6	6	5	38	6	7	7	4	5	5	4	5	6	7	8	68	6	67
O.RL15001673	50	64	70	71	69	70	70	33	43	4	5	36	4	4	0	4	4	4	3	40	4	5	5	2	3	3	2	3	4	5	6	70	4	69
O.RL15001672	52	66	72	73	69	72	72	35	45	6	7	38	6	6	4	0	6	6	5	42	4	7	7	4	5	5	4	5	6	7	8	72	4	69
O.RL15001671	52	66	72	73	71	72	72	35	45	6	7	38	6	6	4	6	0	6	5	42	6	7	7	4	5	5	4	5	6	7	8	72	6	71
O.RL15001670	52	65	72	73	71	72	72	35	45	6	7	38	6	6	4	6	6	0	5	42	6	7	7	4	5	5	4	5	6	7	8	72	6	71
O.RL15001669	51	65	71	72	70	71	71	34	44	5	2	37	5	5	3	5	5	5	0	41	5	2	2	3	4	4	3	4	5	2	3	71	5	70
S.RL15001648	46	60	66	67	63	66	66	27	39	42	43	32	38	38	40	42	42	42	41	0	42	42	43	40	41	40	40	41	42	43	43	66	42	63
O.RL15001684	52	66	72	73	71	72	72	35	45	6	7	38	6	6	4	4	6	6	5	42	0	7	7	4	5	5	4	5	6	7	8	72	0	71
O.RL15001675	52	66	72	73	69	72	72	35	45	7	4	38	7	7	5	7	7	7	2	42	7	0	4	5	6	6	5	6	7	4	1	72	7	69
O.RL15001685	53	67	73	74	72	73	73	36	46	7	0	39	7	7	5	7	7	7	2	43	7	4	0	5	6	6	5	6	7	0	5	73	7	72
O.RL15001681	50	64	70	71	69	70	70	33	43	4	5	36	4	4	2	4	4	4	3	40	4	5	5	0	3	3	2	3	4	5	6	70	4	69
O.RL15001682	51	65	71	72	70	71	71	34	44	5	6	37	5	5	3	5	5	5	4	41	5	6	6	3	0	4	3	4	5	6	7	71	5	70
O.RL15001676	50	64	70	71	69	70	70	33	43	5	6	36	5	5	3	5	5	5	4	40	5	6	6	3	4	0	3	4	5	6	7	70	5	69
O.RL15001678	50	64	70	71	69	70	70	33	43	4	5	36	4	4	2	4	4	4	3	40	4	5	5	2	3	3	0	3	4	5	6	70	4	69
O.RL15001677	51	63	69	70	70	69	69	34	44	5	6	37	5	5	3	5	5	5	4	41	5	6	6	3	4	4	3	0	5	6	7	69	5	70
O.RL15001680	52	66	72	73	72	72	72	35	45	0	7	38	6	6	4	6	6	6	5	42	6	7	7	4	5	5	4	5	0	7	8	72	6	72
O.RL15001683	53	67	73	74	72	73	73	36	46	7	0	39	7	7	5	7	7	7	2	43	7	4	0	5	6	6	5	6	7	0	5	73	7	72
O.RL15001674	53	67	73	74	72	73	73	36	46	8	5	39	8	8	6	8	8	8	3	43	8	1	5	6	7	7	6	7	8	5	0	73	8	72
F.RL15000265	60	8	9	10	73	9	0	59	69	72	73	62	68	68	70	72	72	72	71	66	72	72	73	70	71	70	70	69	72	73	73	0	72	73
O.RL15001687	52	66	72	73	71	72	72	35	45	6	7	38	6	6	4	4	6	6	5	42	0	7	7	4	5	5	4	5	6	7	8	72	0	71
R.ref-CC89	60	65	73	74	0	73	73	58	68	71	72	61	67	67	69	69	71	71	70	63	71	69	72	69	70	69	69	70	72	72	72	73	71	0
