	105120_RL1500008701-1	105136_RL1500010701-1	105144_RL1500011801-1	105145_RL1500011901-1	105156_RL1500013601-1	105157_RL1500013701-1	105158_RL1500013801-1	105159_RL1500013901-1	105161_RL1500014301-1	105168_RL1500018301-1	106084_RL1500020501-1	106088_RL1500020701-1	118084_RL1500006801-2	118096_RL1500014601-2	118098_RL1500003901-2	118099_RL1500005401-2	118101_RL1500007801-2	118106_RL1500014701-2	118116_RL1500015501-2	118118_RL1500004501-2	150672_RL1500019901-1	150675_RL1500020401-1	150680_RL1500022201-1	150684_RL1500022701-1	150691_RL1500023401-1	150865_RL1500034502-1	150874_RL1500035402-1	150876_RL1500035602-1	150877_RL1500035702-1	150891_RL1500037302-1	150893_RL1500037502-1	150911_RL1500040802-1	153211_RL1500021501-2	153268_RL1500033801-2	153504_RL1500046101-1	153506_RL1500046301-1	153507_RL1500046401-1	153522_RL1500047901-1	153523_RL1500048001-1	153530_RL1500048701-1	153534_RL1500049101-1	153544_RL1500050301-1	153549_RL1500050801-1	153550_RL1500050901-1	153551_RL1500051001-1	153553_RL1500051401-1	159972_RL1500027802-2	159992_RL1500054202-2	160004_RL1500065902-2	160005_RL1500067702-2	160009_RL1500071502-2	160010_RL1500071702-2	160013_RL1500072202-2	160016_RL1500127902-2	160028_RL1500052201-2	160029_RL1500052301-2	160030_RL1500052401-2	160031_RL1500052501-2	160034_RL1500052801-2	160035_RL1500052901-2	160036_RL1500053001-2	160037_RL1500053101-2	160039_RL1500053301-2	160047_RL1500066201-2	160053_RL1500066901-2	160058_RL1500067601-2	160059_RL1500067801-2	160062_RL1500068101-2	160080_RL1500070101-2	160085_RL1500070601-2	163331_RL1500130401-2	163355_RL1500133401-2	163369_RL1500134901-2	165012_RL1500031402-1	165029_RL1500051301-1	165060_RL1500072302-1	168131_RL1500003502-2	168147_RL1500007002-2	168149_RL1500007402-2	168157_RL1500015102-2	168162_RL1500016402-2	168170_RL1500017602-2	168201_RL1500138501-2	172343_RL1500142401-2	172344_RL1500142501-2	172348_RL1500152301-2	172359_RL1500153701-2	172360_RL1500153801-2	175629_RL1500129601-2	175655_RL1500165001-2	176120_RL1400007301-1	176121_RL1400007501-1	176129_RL1500130601-1	176138_RL1500157901-1	176172_RL1500161601-1	176175_RL1500161901-1	176388_RL1500160001-1	188203_RL1400008701-1	188209_RL1500001201-1	188212_RL1500002801-1	188217_RL1500007701-1	188218_RL1500012401-1	191708_RL1400008601-2	191974_RL1500244001-1	27074_RL1000010-1	27075_RL10000011-1	5618_RL10000072-2	5631_RL10000088-2	7601_RL14000008-2	RL15003017	SLCC2479
F.RL15000205	789	741	643	6	786	1434	1317	1391	654	749	0	143	3	1329	593	732	721	1255	748	1462	5	2	4	2	770	1003	977	1011	1018	1290	1559	1896	140	2009	1462	1547	699	1460	812	762	1295	1337	1586	1148	1433	1148	1005	1033	1837	1509	705	1564	1147	742	1816	1807	1563	1563	1523	1184	919	1196	1562	1586	1603	1650	1881	1646	722	703	1723	1431	1686	683	1850	690	746	5	845	1457	873	180	612	1334	1333	1345	2055	773	1825	1527	1261	1253	1702	1322	1455	1356	388	1282	985	723	848	851	1278	1762	982	940	1241	1206	1065	4	1594
F.RL15000207	799	751	639	141	769	1347	1234	1309	639	757	143	0	127	1433	561	743	730	1347	756	1475	124	139	134	145	849	952	1053	963	968	1292	1680	1963	7	1996	1496	1615	727	1372	844	825	1320	1424	1539	1157	1383	1254	993	1155	1786	1422	702	1557	1129	760	1814	1803	1643	1643	1524	1312	993	1324	1642	1532	1548	1547	1879	1545	804	699	1802	1401	1725	760	1801	822	827	120	861	1486	856	244	728	1396	1396	1408	2015	883	1891	1426	1248	1240	1772	1311	1479	1454	530	1269	974	798	866	869	1265	1865	1033	991	1227	1198	1116	141	1548
F.RL15000068	186	182	58	9	60	651	635	646	60	184	3	127	0	538	496	186	187	522	181	735	7	4	6	5	245	202	183	209	208	547	555	741	125	841	632	715	583	654	249	140	637	602	795	103	783	453	73	627	810	721	236	750	586	610	810	808	756	755	757	481	196	481	753	636	645	690	818	689	86	241	712	677	642	148	888	44	616	7	195	597	67	157	27	641	646	652	763	59	699	667	201	203	714	280	577	623	51	204	71	191	196	197	204	693	140	128	194	188	140	6	800
F.RL15000146	1406	1348	892	1240	819	1356	1269	1320	787	1386	1329	1433	538	0	752	1346	1333	0	1384	1471	1306	619	1214	1311	1062	1059	962	1071	1070	1503	1140	1823	1429	1942	1098	1602	414	1540	1070	999	1193	1601	1805	1097	1629	1106	879	1046	1732	1613	967	1372	1664	651	1475	1470	1785	1783	1219	1123	1066	1139	1781	1813	1835	1472	1611	1481	956	971	1413	1251	1506	1095	1829	1436	831	1267	1486	957	865	243	1367	1543	1546	1551	1931	1520	1785	1343	1391	1389	1418	1390	1154	1219	1313	1406	868	1462	1508	1505	1403	1491	1076	1027	1381	1352	1122	1333	1810
F.RL15000039	504	467	183	574	128	880	847	841	126	502	593	561	496	752	0	478	478	727	485	1019	581	537	555	593	363	275	328	280	281	875	839	1106	559	1006	810	1043	819	901	380	311	823	625	1236	178	1233	793	148	815	553	787	400	852	317	849	1085	1081	795	786	938	810	318	805	787	804	811	925	1096	920	267	404	1079	829	431	311	1007	555	1000	578	522	838	141	251	559	915	920	927	1143	614	1068	839	266	267	1079	437	810	816	571	267	146	540	526	528	266	1115	248	237	256	249	260	598	1244
F.RL15000054	13	8	6	690	587	1102	1063	1083	519	11	732	743	186	1346	478	0	6	1259	9	1088	710	202	697	735	416	466	652	464	475	673	1150	1560	731	1539	1288	893	661	773	718	181	1206	589	1456	527	1327	593	732	1206	1196	772	798	866	567	662	1630	1605	762	762	769	660	482	662	761	859	876	1172	1364	1188	152	798	1316	680	1244	795	1294	163	791	680	13	1303	643	204	211	1263	1268	1276	1349	860	1486	1085	799	792	1313	952	1169	754	636	820	718	445	5	9	810	1275	387	367	778	769	412	763	1460
F.RL15000078	12	8	5	683	574	1109	1062	1085	515	10	721	730	187	1333	478	6	0	1253	8	1075	698	199	688	724	407	450	659	448	459	649	1134	1530	718	1518	1271	878	644	767	695	177	1168	573	1415	508	1297	584	694	1173	1182	763	774	846	555	648	1603	1574	748	748	755	647	482	649	747	854	870	1171	1348	1187	153	774	1305	663	1211	769	1276	162	773	669	12	1282	626	202	209	1230	1235	1243	1317	848	1465	1091	762	755	1300	935	1146	744	636	784	684	434	2	8	774	1257	384	367	741	732	407	752	1421
F.RL15000147	1317	1276	836	1178	772	1289	1213	1254	737	1296	1255	1347	522	0	727	1259	1253	0	1298	1387	1234	604	1151	1237	994	987	895	999	998	1419	1052	1687	1343	1831	1009	1481	390	1448	987	933	1093	1488	1635	1035	1492	1036	830	979	1616	1513	891	1259	1549	602	1359	1347	1667	1665	1126	1049	989	1065	1663	1719	1741	1382	1491	1390	889	894	1287	1151	1409	997	1735	1351	806	1196	1398	879	818	239	1288	1435	1438	1444	1789	1425	1645	1276	1306	1305	1291	1311	1069	1138	1237	1322	819	1373	1419	1414	1324	1391	1020	971	1296	1267	1049	1259	1641
F.RL15000155	10	6	3	704	601	1119	1073	1095	534	8	748	756	181	1384	485	9	8	1298	0	1090	724	194	709	751	408	468	655	467	478	666	1155	1572	745	1564	1300	897	664	766	737	170	1232	587	1482	524	1358	602	740	1231	1207	769	814	871	564	657	1648	1612	762	762	775	665	478	667	761	856	872	1184	1365	1201	148	814	1329	684	1250	808	1305	156	800	695	10	1307	657	193	204	1289	1294	1302	1374	864	1497	1103	790	783	1323	961	1172	766	647	812	725	436	6	8	802	1276	381	360	769	760	402	778	1488
F.RL15000045	1113	1083	372	1339	741	1167	1080	1132	677	1096	1462	1475	735	1471	1019	1088	1075	1387	1090	0	1419	899	1364	1450	640	738	737	739	748	1196	1349	648	1471	1339	1293	567	725	1083	809	531	1310	1000	780	668	770	1039	877	1372	1484	1126	820	1177	1344	502	1774	1781	818	815	1125	1124	762	1135	816	1756	1783	1276	1615	1300	547	816	770	1018	1541	795	1818	1157	782	1352	1204	1411	813	240	1138	1194	1217	1233	310	1366	629	1308	761	756	753	779	1293	1119	1396	784	863	1237	1246	1243	768	1393	640	612	742	734	671	1491	781
F.RL15000199	762	719	631	10	750	1371	1260	1334	625	725	5	124	7	1306	581	710	698	1234	724	1419	0	6	7	7	764	978	956	987	993	1268	1530	1842	123	1949	1424	1513	689	1410	782	754	1249	1310	1472	1146	1340	1132	955	1017	1783	1469	679	1525	1113	724	1754	1744	1524	1525	1483	1170	911	1182	1523	1537	1554	1587	1813	1583	716	677	1663	1389	1648	644	1797	679	730	8	820	1427	831	186	603	1281	1281	1293	1951	755	1766	1465	1245	1237	1644	1278	1421	1335	385	1266	938	719	822	824	1262	1715	958	916	1223	1195	1041	7	1479
F.RL15000204	207	193	78	14	64	786	763	779	65	198	2	139	4	619	537	202	199	604	194	899	6	0	5	4	276	239	200	243	244	675	670	928	135	1012	750	939	698	809	282	168	758	714	1055	121	1036	546	74	723	958	883	323	891	629	735	978	979	929	926	884	574	229	574	925	692	701	861	983	852	99	328	893	814	726	176	999	46	706	6	203	719	71	176	29	795	801	807	1007	63	881	818	229	230	899	332	697	718	54	232	73	215	200	200	231	859	169	157	221	215	170	15	1064
F.RL15000222	740	697	608	9	699	1317	1228	1283	602	713	4	134	6	1214	555	697	688	1151	709	1364	7	5	0	6	719	943	893	953	958	1194	1448	1721	137	1854	1344	1405	661	1349	715	710	1168	1233	1330	1088	1223	1063	858	939	1679	1395	592	1446	1087	693	1685	1668	1437	1438	1412	1093	864	1104	1436	1486	1503	1501	1736	1503	675	590	1578	1331	1566	565	1722	636	695	7	787	1345	774	183	567	1185	1185	1197	1801	684	1643	1410	1167	1161	1557	1208	1344	1260	358	1189	848	672	789	794	1187	1626	907	873	1148	1119	976	3	1340
F.RL15000227	792	744	646	8	770	1409	1292	1366	640	752	2	145	5	1311	593	735	724	1237	751	1450	7	4	6	0	776	995	964	1003	1010	1302	1547	1878	142	1987	1451	1547	702	1453	807	768	1284	1334	1566	1155	1408	1144	988	1022	1829	1511	695	1563	1153	736	1803	1794	1562	1562	1520	1178	928	1190	1561	1576	1593	1626	1864	1626	725	693	1703	1431	1661	679	1833	694	742	7	847	1445	857	186	613	1320	1320	1332	2035	767	1801	1505	1262	1254	1682	1304	1444	1349	390	1282	968	731	851	854	1278	1745	971	929	1240	1212	1054	6	1575
F.RL15000234	439	401	287	721	732	840	742	797	628	420	770	849	245	1062	363	416	407	994	408	640	764	276	719	776	0	739	859	742	747	495	929	1089	845	1332	897	454	315	600	779	379	805	389	1170	800	978	489	946	747	1008	485	814	567	265	377	1322	1302	369	370	531	498	564	503	365	1118	1138	1011	1120	1021	436	814	740	539	980	892	987	447	309	739	491	1035	809	178	460	814	816	821	1222	975	1043	910	1036	1027	733	1235	956	540	807	1059	924	122	497	497	1047	942	539	524	1019	995	614	807	1177
F.RL15000345	503	452	374	930	753	673	614	647	705	473	1003	952	202	1059	275	466	450	987	468	738	978	239	943	995	739	0	711	10	10	485	678	1033	950	1139	922	598	178	563	1101	490	1092	499	1230	767	1019	515	884	1068	729	571	943	564	669	188	1148	1135	520	511	501	523	863	520	515	632	634	737	679	740	541	953	710	567	1086	1096	741	512	322	942	534	993	803	243	472	1123	1129	1135	997	995	900	799	975	973	696	1214	689	597	943	993	872	639	535	541	991	597	562	533	957	948	584	1005	1238
F.RL15000354	704	663	630	863	810	268	240	263	771	692	977	1053	183	962	328	652	659	895	655	737	956	200	893	964	859	711	0	718	726	801	730	957	1045	1180	801	757	257	925	986	700	1006	747	1388	841	1193	735	964	971	795	844	1001	812	902	292	1274	1253	769	767	876	732	774	749	768	876	883	317	876	313	727	1002	947	803	860	1094	940	702	313	905	734	914	881	189	670	1130	1134	1140	1176	1144	919	316	1129	1127	951	1011	751	783	866	1145	951	811	748	750	1142	663	637	625	1105	1088	653	975	1394
F.RL15000356	501	449	363	939	744	689	631	663	697	471	1011	963	209	1071	280	464	448	999	467	739	987	243	953	1003	742	10	718	0	0	484	681	1043	961	1149	928	597	181	574	1104	491	1093	498	1240	753	1031	520	873	1069	737	573	947	562	673	193	1139	1125	518	509	499	525	863	522	514	637	639	751	673	754	542	957	710	572	1093	1101	735	515	329	951	532	995	794	250	476	1128	1132	1139	1008	1004	910	812	973	974	699	1228	692	596	946	991	863	638	534	540	992	605	565	536	958	949	586	1013	1248
F.RL15000357	512	461	368	945	742	689	631	663	696	482	1018	968	208	1070	281	475	459	998	478	748	993	244	958	1010	747	10	726	0	0	494	689	1049	966	1154	932	608	184	573	1112	499	1101	508	1244	762	1027	524	873	1078	741	584	952	572	678	193	1143	1129	529	520	509	532	873	529	524	641	643	753	674	756	550	961	715	575	1099	1112	735	521	329	956	544	1000	792	249	481	1133	1139	1145	1010	1002	914	811	979	977	702	1229	698	607	956	998	861	648	545	551	997	606	571	541	961	952	593	1020	1252
F.RL15000373	666	651	55	1184	716	1375	1275	1341	623	657	1290	1292	547	1503	875	673	649	1419	666	1196	1268	675	1194	1302	495	485	801	484	494	0	1275	1703	1286	1814	1309	972	553	996	937	203	1321	751	1901	558	1685	743	893	1321	1457	835	972	761	1108	725	1849	1826	912	912	614	763	559	769	909	1488	1516	1500	1595	1505	155	966	1463	658	1439	1059	1560	630	585	1218	711	1275	780	234	643	1547	1553	1558	1678	1484	1650	1398	924	923	1451	1176	1196	776	1207	953	869	857	734	723	934	1477	464	440	911	893	485	1327	1909
F.RL15000375	1191	1137	607	1366	539	1122	1032	1099	508	1191	1559	1680	555	1140	839	1150	1134	1052	1155	1349	1530	670	1448	1547	929	678	730	681	689	1275	0	1691	1668	1865	676	1349	275	1307	729	708	845	1253	1538	942	1749	806	666	1272	838	1386	1094	1122	1579	486	1519	1508	1453	1452	927	836	796	851	1452	1050	1065	1247	743	1236	723	1095	1550	939	1726	739	1746	1229	739	1441	1282	1012	583	164	1146	1163	1173	1176	1856	1432	1647	1284	1032	1032	1546	1410	372	938	1270	1051	656	1373	1325	1317	1050	546	556	521	1014	995	580	1577	1537
F.RL15000408	1632	1544	837	1679	1263	1446	1311	1380	1145	1586	1896	1963	741	1823	1106	1560	1530	1687	1572	648	1842	928	1721	1878	1089	1033	957	1043	1049	1703	1691	0	1953	1836	1767	1009	728	1550	1439	974	1966	1503	1502	1136	1369	1541	1492	1763	1847	1584	1254	1677	1876	458	2314	2281	1296	1295	1667	1601	1329	1616	1293	2237	2265	1629	2010	1632	988	1255	858	1492	1596	1284	1715	1651	783	1753	1742	1821	1357	125	1582	1851	1867	1887	1045	2043	60	1549	1228	1226	842	1194	1749	1497	1896	1252	1465	1680	1800	1796	1253	1784	985	947	1206	1198	1047	1931	1508
F.RL15000215	788	739	630	139	753	1335	1223	1297	623	746	140	7	125	1429	559	731	718	1343	745	1471	123	135	137	142	845	950	1045	961	966	1286	1668	1953	0	1985	1476	1605	727	1357	826	818	1301	1409	1515	1151	1375	1238	976	1148	1767	1409	703	1540	1119	760	1811	1800	1633	1635	1508	1299	984	1311	1632	1519	1536	1530	1864	1528	799	700	1787	1389	1723	744	1797	811	824	119	849	1485	840	248	719	1374	1374	1386	2008	865	1884	1413	1234	1226	1763	1306	1465	1440	528	1255	957	792	854	857	1251	1850	1033	991	1213	1184	1116	143	1523
F.RL15000338	1601	1535	907	1845	1177	1322	1214	1277	1069	1568	2009	1996	841	1942	1006	1539	1518	1831	1564	1339	1949	1012	1854	1987	1332	1139	1180	1149	1154	1814	1865	1836	1985	0	1979	1733	777	1462	1722	1191	2090	1766	2354	1050	2099	1520	1333	1849	2076	1813	1519	1658	1944	807	2071	2050	1855	1846	1539	1551	1527	1561	1855	2193	2214	1445	1935	1448	1171	1516	1947	1482	1771	1794	2029	1749	1057	1873	1681	1917	1235	343	1611	2175	2173	2195	1637	2041	1784	1490	907	907	1909	285	1867	1559	1921	921	1316	1893	1728	1725	913	1890	1273	1236	898	888	1337	2041	2359
F.RL15000461	1330	1261	757	1284	439	1062	968	1050	394	1326	1462	1496	632	1098	810	1288	1271	1009	1300	1293	1424	750	1344	1451	897	922	801	928	932	1309	676	1767	1476	1979	0	1425	112	1332	633	940	476	1427	1452	1008	1540	944	594	1020	1179	1570	920	1196	1483	482	1557	1536	1659	1656	1169	981	831	999	1656	1390	1415	1230	1039	1225	916	922	1518	866	1852	771	1861	1431	856	1330	1445	857	493	216	1352	1080	1085	1088	1824	1332	1700	1139	1151	1145	1502	1571	355	990	1441	1156	583	1351	1487	1481	1162	929	775	744	1113	1087	845	1494	1459
F.RL15000463	908	863	135	1368	736	1129	1018	1084	647	904	1547	1615	715	1602	1043	893	878	1481	897	567	1513	939	1405	1547	454	598	757	597	608	972	1349	1009	1605	1733	1425	0	765	789	868	165	1405	784	1169	642	990	796	913	1431	1507	844	844	925	1243	541	1989	1965	564	562	943	838	441	842	559	1779	1810	1265	1697	1277	249	844	766	814	1609	1011	1802	884	731	1429	995	1486	806	180	867	1212	1235	1249	981	1722	982	1157	948	938	764	1110	1366	848	1491	965	889	1028	1040	1038	953	1371	481	460	923	918	513	1606	1175
F.RL15000464	659	646	111	658	93	597	572	598	90	657	699	727	583	414	819	661	644	390	664	725	689	698	661	702	315	178	257	181	184	553	275	728	727	777	112	765	0	621	234	195	118	670	844	124	843	239	128	356	848	828	297	601	900	475	747	735	910	907	425	245	270	249	904	957	974	658	707	653	178	303	730	142	699	198	1040	695	796	657	714	36	110	230	667	692	701	704	819	733	698	626	263	270	727	401	24	298	703	270	126	769	732	725	270	558	145	139	265	249	145	720	852
F.RL15000479	789	758	184	1321	719	602	546	579	658	786	1460	1372	654	1540	901	773	767	1448	766	1083	1410	809	1349	1453	600	563	925	574	573	996	1307	1550	1357	1462	1332	789	621	0	1140	465	1350	910	1715	594	1387	690	875	1260	1452	975	800	1065	1194	645	1852	1818	1044	1041	867	698	749	700	1037	1580	1603	644	1613	652	325	801	1373	623	1546	1290	1440	854	1028	1355	830	1367	772	237	804	1394	1399	1407	1393	1626	1499	574	947	943	1363	1075	1278	761	1372	960	852	1114	862	866	957	1506	705	690	931	926	735	1505	1721
F.RL15000480	821	722	685	672	470	1052	919	997	360	774	812	844	249	1070	380	718	695	987	737	809	782	282	715	807	779	1101	986	1104	1112	937	729	1439	826	1722	633	868	234	1140	0	763	210	870	630	1218	1002	966	706	770	840	973	721	827	768	229	1194	1169	862	866	957	964	829	986	864	835	855	1274	895	1280	975	718	1025	960	1495	298	1318	935	259	707	915	1045	566	149	859	323	327	334	1609	965	1371	1244	1351	1345	1009	1596	594	915	807	1373	679	691	953	951	1360	719	758	701	1310	1285	870	836	636
F.RL15000487	181	173	61	702	665	832	757	805	577	174	762	825	140	999	311	181	177	933	170	531	754	168	710	768	379	490	700	491	499	203	708	974	818	1191	940	165	195	465	763	0	899	143	1159	563	966	211	841	820	821	223	894	308	401	230	1211	1183	120	118	240	201	417	204	117	857	875	951	951	957	170	896	698	288	807	885	840	124	119	737	195	889	733	128	165	938	942	947	961	954	929	865	996	988	692	1069	799	291	717	1017	818	324	198	199	1004	690	360	349	974	963	392	806	1165
F.RL15000491	1291	1203	716	1118	518	1195	1068	1151	400	1256	1295	1320	637	1193	823	1206	1168	1093	1232	1310	1249	758	1168	1284	805	1092	1006	1093	1101	1321	845	1966	1301	2090	476	1405	118	1350	210	899	0	1410	1026	1261	1398	931	751	834	1372	1554	796	1133	1369	490	1552	1529	1651	1654	1163	970	868	993	1651	1477	1508	1413	1229	1421	912	791	1593	857	1992	384	1964	1434	860	1148	1432	952	605	224	1302	665	670	673	2026	1472	1900	1375	1331	1326	1567	1664	510	970	1234	1352	729	1253	1481	1472	1341	1113	833	779	1292	1268	943	1328	1034
