	106076_RL1500019601-1	118137_RL1500005801-2	150659_RL1500010301-1	150679_RL1500022101-1	150880_RL1500036102-1	150883_RL1500036402-1	150905_RL1500040202-1	153207_RL1500021101-2	153529_RL1500048601-1	153533_RL1500049001-1	153539_RL1500049701-1	153548_RL1500050701-1	153554_RL1500051501-1	160012_RL1500072102-2	160054_RL1500067001-2	160074_RL1500069401-2	160086_RL1500070801-2	163323_RL1500067201-2	163329_RL1500130301-2	163349_RL1500132901-2	163364_RL1500134401-2	163371_RL1500135101-2	163382_RL1500137501-2	163384_RL1500137801-2	168184_RL1500131701-2	172326_RL1500003601-2	172354_RL1500152901-2	172356_RL1500153201-2	172364_RL1500154701-2	172365_RL1500154801-2	175631_RL1500130501-2	176116_RL1400005101-1	176119_RL1400006701-1	176123_RL1400008001-1	176177_RL1500162501-1	176194_RL1500198201-1	176374_RL1500067301-1	176390_RL1500164501-1	176398_RL1500164701-1	177565_RL1500162201-2	177567_RL1500163701-2	188198_RL1400007601-1	188200_RL1400007801-1	188201_RL1400007901-1	188202_RL1400008501-1	189894_RL1500243701-2	189911_RL1500242901-2	191975_RL1500244601-1	27072_RL1000007-1	27073_RL1000009-1	5559_RL1000003-2	5560_RL1000004-2	5561_RL1000005-2	5562_RL1000006-2	5565_RL10000014-2	5611_RL10000065-2	5612_RL10000066-2	5614_RL10000068-2	5615_RL10000069-2	5616_RL10000070-2	5617_RL10000071-2	5620_RL10000074-2	5625_RL10000082-2	5627_RL10000084-2	CP006047	RL15003018	RL15003020	RL15003021	RL15003022
F.RL15000497	104	442	104	1008	1104	1114	2588	1105	1	1083	0	878	1010	499	215	807	1874	199	601	596	1184	991	1114	1457	1039	1557	1073	1064	1107	1133	644	1123	1520	1114	1188	604	205	1069	1087	1154	1532	1540	762	1131	1529	517	2390	1088	1115	1119	1131	1119	1109	1117	985	1148	1466	1303	1646	1521	1529	777	1609	1555	1452	1069	1036	1097	1106
F.RL15000507	116	519	116	877	848	858	1225	1108	896	1096	878	0	854	579	211	382	650	194	608	666	827	978	971	1172	804	658	822	811	1108	1131	524	1024	1237	1008	1090	598	205	1078	939	917	857	1256	721	1027	1250	791	1164	551	1018	1024	1034	1025	1028	1020	859	1251	1167	764	1005	1243	1244	409	979	1272	874	585	558	608	587
F.RL15000515	103	373	103	1064	947	952	1180	1194	1047	1230	1010	854	0	440	220	868	951	193	530	460	1041	1145	1083	1256	936	936	906	901	1191	1216	479	1134	1234	1119	1193	523	206	1211	1052	1107	1040	1251	807	1135	1240	928	1112	858	1132	1132	1142	1136	1163	1127	686	1219	1176	857	1088	1244	1257	517	1062	1281	1138	859	828	864	849
F.RL15000721	122	467	122	384	419	423	480	528	505	493	499	579	440	0	239	428	541	220	424	563	475	475	588	539	373	445	443	440	541	542	421	548	441	548	460	418	230	471	557	404	540	444	480	549	447	482	412	480	556	559	559	558	499	547	490	439	448	450	522	439	453	331	512	460	704	514	492	517	528
F.RL15000670	118	191	117	183	212	214	211	218	217	231	215	211	220	239	0	185	230	0	106	227	92	213	221	175	165	214	220	218	230	233	135	219	195	220	219	94	0	208	197	216	235	193	145	221	192	218	210	172	218	222	229	222	214	220	193	181	191	184	193	205	204	125	187	203	247	193	173	196	198
F.RL15000694	96	359	96	779	617	622	1075	915	827	923	807	382	868	428	185	0	510	169	508	490	725	810	753	915	646	683	600	590	912	932	450	817	1350	803	894	509	177	904	720	687	650	1379	604	819	1372	627	1058	538	806	804	813	805	816	808	768	1357	1266	906	1150	1363	1349	456	1122	1372	748	547	526	550	539
F.RL15000708	105	426	105	556	698	707	1226	684	1916	1727	1874	650	951	541	230	510	0	212	612	572	1577	1583	586	896	486	1617	713	705	683	702	1587	687	2446	683	1718	604	221	1720	565	639	1454	2465	579	691	2446	1767	1529	713	678	679	684	684	1735	689	751	1478	2368	1969	2213	2447	2466	1278	2172	2491	1810	706	683	736	755
F.RL15000672	115	179	114	170	194	197	195	201	201	210	199	194	193	220	0	169	212	0	105	210	79	195	200	160	147	195	204	202	213	216	130	201	176	202	198	91	0	188	176	199	215	175	132	203	173	198	193	157	198	202	209	201	195	202	175	169	171	164	172	181	179	105	169	179	222	181	165	184	182
F.RL15001303	84	352	84	349	498	501	457	570	610	564	601	608	530	424	106	508	612	105	0	428	514	521	654	472	83	403	436	430	576	584	59	648	468	647	551	2	104	545	628	454	596	480	551	653	475	562	439	451	647	648	655	648	638	654	408	467	464	434	474	480	471	364	467	480	676	601	581	604	602
S.RL15001329	109	21	109	452	510	515	521	574	603	575	596	666	460	563	227	490	572	210	428	0	596	532	614	607	436	462	461	454	580	583	408	586	483	580	569	409	218	565	586	481	565	484	505	586	482	538	323	570	586	591	595	590	566	583	355	471	495	463	506	494	493	386	507	500	732	601	575	611	620
S.RL15001344	113	448	110	607	674	690	2266	625	1235	740	1184	827	1041	475	92	725	1577	79	514	596	0	616	160	487	134	1224	752	741	622	643	456	397	1912	399	614	516	84	733	129	775	760	1947	360	405	1918	1043	2356	839	401	400	396	400	528	397	793	1476	1843	1468	1667	1913	1931	636	1635	1962	988	871	850	906	917
F.RL15001351	106	433	106	342	776	788	2060	56	1030	71	991	978	1145	475	213	810	1583	195	521	532	616	0	465	891	457	1254	753	750	67	73	589	525	1903	525	144	518	204	52	443	538	938	1936	453	530	1909	807	2214	1003	522	517	525	520	523	526	779	1541	1842	1517	1769	1909	1925	662	1730	1950	1183	1040	1022	1066	1075
S.RL15001375	113	473	113	654	721	733	1000	559	1155	562	1114	971	1083	588	221	753	586	200	654	614	160	465	0	535	125	847	810	802	556	577	627	330	1616	332	536	648	208	546	45	842	78	1628	285	336	1614	922	1034	930	330	329	330	331	329	331	862	1609	1545	1170	1396	1624	1634	235	1360	1658	867	958	938	987	1004
S.RL15001378	133	457	133	959	928	935	1204	1012	1503	991	1457	1172	1256	539	175	915	896	160	472	607	487	891	535	0	423	976	998	991	1000	1021	451	853	1733	847	961	462	174	976	512	1031	551	1764	694	857	1747	1271	1335	1088	846	844	853	847	845	854	1025	1736	1649	1307	1541	1752	1738	678	1507	1762	1207	1109	1089	1115	1128
F.RL15001317	80	325	80	528	627	638	848	520	1088	528	1039	804	936	373	165	646	486	147	83	436	134	457	125	423	0	670	658	651	518	536	50	384	1445	386	497	82	159	508	98	677	208	1462	317	392	1437	889	914	806	390	385	384	387	384	388	651	1436	1367	1008	1236	1450	1453	244	1211	1474	737	827	808	854	873
F.RL15000036	127	354	125	814	860	870	2197	982	1617	1367	1557	658	936	445	214	683	1617	195	403	462	1224	1254	847	976	670	0	825	818	982	1003	820	981	1504	977	1415	398	203	1355	817	808	863	1526	777	987	1512	1420	2068	502	978	973	980	980	1362	985	719	1529	1428	997	1192	1510	1521	556	1162	1554	1429	515	497	526	526
S.RL15001529	118	394	118	675	437	439	1015	788	1103	811	1073	822	906	443	220	600	713	204	436	461	752	753	810	998	658	825	0	18	793	810	384	873	1383	862	787	433	212	785	781	506	743	1414	704	875	1384	826	1026	727	861	863	866	861	869	868	722	1375	1313	1062	1310	1392	1391	506	1311	1415	906	809	785	813	799
S.RL15001532	116	387	116	669	431	433	1005	781	1094	804	1064	811	901	440	218	590	705	202	430	454	741	750	802	991	651	818	18	0	786	803	375	862	1374	851	776	427	210	778	773	502	730	1405	696	864	1375	819	1010	720	850	852	855	850	858	857	720	1369	1303	1054	1296	1382	1381	496	1298	1406	897	804	780	808	794
S.RL15001547	113	480	113	366	851	863	906	55	1146	81	1107	1108	1191	541	230	912	683	213	576	580	622	67	556	1000	518	982	793	786	0	12	548	624	1640	624	57	567	223	62	535	566	567	1659	529	628	1635	907	1094	1115	621	616	624	619	617	625	855	1640	1573	1274	1539	1645	1656	398	1511	1676	1054	1166	1146	1193	1207
S.RL15001548	119	481	119	371	876	887	911	61	1172	87	1133	1131	1216	542	233	932	702	216	584	583	643	73	577	1021	536	1003	810	803	12	0	552	644	1655	644	63	575	227	68	556	572	587	1674	543	648	1649	924	1105	1138	641	636	644	639	637	645	864	1654	1587	1297	1561	1658	1669	424	1535	1689	1074	1192	1171	1219	1232
F.RL15001305	90	353	88	311	429	437	1702	541	653	634	644	524	479	421	135	450	1587	130	59	408	456	589	627	451	50	820	384	375	548	552	0	603	840	601	527	52	133	621	594	401	1073	868	512	607	861	610	1727	405	607	607	604	608	692	610	386	410	842	802	837	844	850	686	817	864	839	518	500	525	522
F.RL14000051	94	444	94	714	689	699	1052	627	1162	592	1123	1024	1134	548	219	817	687	201	648	586	397	525	330	853	384	981	873	862	624	644	603	0	1559	7	584	638	211	599	309	916	332	1575	9	7	1559	920	1003	987	1	0	1	1	0	1	833	1561	1486	1142	1376	1562	1567	27	1345	1592	968	1016	995	1042	1058
F.RL14000067	97	371	95	1543	1438	1448	2658	1637	1551	1995	1520	1237	1234	441	195	1350	2446	176	468	483	1912	1903	1616	1733	1445	1504	1383	1374	1640	1655	840	1559	0	1548	2065	460	185	1975	1576	1256	1731	1	1012	1564	1	1672	2477	1342	1557	1564	1565	1560	1927	1555	1093	5	0	260	750	1	1	114	732	1	2219	1393	1367	1401	1399
F.RL14000080	99	440	99	710	685	695	1047	627	1153	592	1114	1008	1119	548	220	803	683	202	647	580	399	525	332	847	386	977	862	851	624	644	601	7	1548	0	584	638	212	599	311	912	334	1565	2	0	1548	911	1007	966	8	7	8	8	7	8	824	1552	1475	1137	1369	1551	1555	19	1339	1580	948	1003	982	1029	1044
S.RL15001625	100	460	98	347	842	858	2174	46	1231	179	1188	1090	1193	460	219	894	1718	198	551	569	614	144	536	961	497	1415	787	776	57	63	527	584	2065	584	0	543	210	167	513	565	1089	2101	499	588	2070	993	2363	1104	581	576	584	579	698	585	829	1617	2003	1692	1951	2063	2089	761	1907	2115	1272	1145	1126	1178	1201
F.RL15001982	82	337	82	348	498	501	456	562	613	561	604	598	523	418	94	509	604	91	2	409	516	518	648	462	82	398	433	427	567	575	52	638	460	638	543	0	92	542	622	451	588	473	535	644	467	559	429	445	639	640	643	641	632	645	401	454	457	428	466	469	463	362	460	472	667	591	572	594	590
F.RL15000673	115	182	114	173	204	206	202	211	207	223	205	205	206	230	0	177	221	0	104	218	84	204	208	174	159	203	212	210	223	227	133	211	185	212	210	92	0	201	184	208	225	183	142	213	183	208	201	168	208	212	219	212	203	211	181	178	181	174	181	192	190	117	177	189	234	190	170	193	191
S.RL15001645	100	455	100	347	853	864	2141	51	1109	69	1069	1078	1211	471	208	904	1720	188	545	565	733	52	546	976	508	1355	785	778	62	68	621	599	1975	599	167	542	201	0	525	568	1053	2009	510	604	1980	855	2365	1093	595	591	599	594	599	600	841	1591	1909	1607	1868	1980	1995	719	1829	2019	1369	1141	1122	1169	1176
S.RL15001647	92	446	92	625	695	707	964	538	1128	541	1087	939	1052	557	197	720	565	176	628	586	129	443	45	512	98	817	781	773	535	556	594	309	1576	311	513	622	184	525	0	823	55	1590	256	315	1575	893	1001	893	309	308	309	310	308	310	828	1573	1506	1135	1360	1585	1594	202	1325	1618	814	926	905	955	970
S.RL15001622	114	410	114	485	585	589	1061	559	1187	589	1154	917	1107	404	216	687	639	199	454	481	775	538	842	1031	677	808	506	502	566	572	401	916	1256	912	565	451	208	568	823	0	773	1287	764	918	1254	938	1113	911	905	905	911	907	913	920	815	1237	1203	1098	1424	1263	1260	455	1424	1287	1019	990	966	995	979
S.RL15001637	123	426	122	657	668	684	2107	573	1581	1064	1532	857	1040	540	235	650	1454	215	596	565	760	938	78	551	208	863	743	730	567	587	1073	332	1731	334	1089	588	225	1053	55	773	0	1752	308	342	1735	1323	2005	872	333	334	333	335	829	338	822	1667	1651	1289	1496	1739	1738	441	1471	1756	1495	845	822	880	893
F.RL14000076	99	372	97	1566	1467	1477	2689	1656	1572	2028	1540	1256	1251	444	193	1379	2465	175	480	484	1947	1936	1628	1764	1462	1526	1414	1405	1659	1674	868	1575	1	1565	2101	473	183	2009	1590	1287	1752	0	1028	1582	0	1712	2486	1362	1572	1579	1580	1575	1959	1572	1106	6	1	273	764	2	2	131	746	0	2284	1414	1388	1422	1420
F.RL14000078	38	376	38	580	575	585	891	532	796	519	762	721	807	480	145	604	579	132	551	505	360	453	285	694	317	777	704	696	529	543	512	9	1012	2	499	535	142	510	256	764	308	1028	0	7	1012	675	800	766	9	8	7	3	15	3	677	1025	946	575	633	1015	1019	36	608	1039	818	804	782	830	836
F.RL14000079	99	444	99	719	691	701	1057	631	1170	597	1131	1027	1135	549	221	819	691	203	653	586	405	530	336	857	392	987	875	864	628	648	607	7	1564	0	588	644	213	604	315	918	342	1582	7	0	1565	926	1016	987	8	7	8	8	7	8	835	1568	1492	1150	1382	1568	1572	31	1356	1597	976	1021	999	1047	1061
F.RL14000085	97	370	95	1549	1433	1443	2666	1631	1561	2001	1529	1250	1240	447	192	1372	2446	173	475	482	1918	1909	1614	1747	1437	1512	1384	1375	1635	1649	861	1559	1	1548	2070	467	183	1980	1575	1254	1735	0	1012	1565	0	1690	2477	1349	1556	1563	1564	1559	1937	1555	1092	6	1	258	747	2	2	111	730	0	2240	1401	1375	1409	1407
S.RL15002437	101	433	101	847	890	900	2297	901	530	862	517	791	928	482	218	627	1767	198	562	538	1043	807	922	1271	889	1420	826	819	907	924	610	920	1672	911	993	559	208	855	893	938	1323	1712	675	926	1690	0	2120	904	913	914	918	910	901	915	710	1303	1594	1339	1622	1683	1696	797	1596	1724	1317	893	871	920	939
S.RL15002429	107	288	104	911	1112	1126	1055	1092	2425	2370	2390	1164	1112	412	210	1058	1529	193	439	323	2356	2214	1034	1335	914	2068	1026	1010	1094	1105	1727	1003	2477	1007	2363	429	201	2365	1001	1113	2005	2486	800	1016	2477	2120	0	1086	1010	1005	1007	1006	2294	1005	472	1425	2407	2193	2456	2477	2489	1613	2453	2510	2526	1129	1105	1157	1145
S.RL15002446	81	428	81	868	845	850	1156	1123	1125	1109	1088	551	858	480	172	538	713	157	451	570	839	1003	930	1088	806	502	727	720	1115	1138	405	987	1342	966	1104	445	168	1093	893	911	872	1362	766	987	1349	904	1086	0	976	978	981	978	996	978	668	1340	1261	883	1115	1346	1349	498	1103	1377	892	111	96	113	102
F.RL1000007	95	447	95	712	682	692	1057	624	1154	589	1115	1018	1132	556	218	806	678	198	647	586	401	522	330	846	390	978	861	850	621	641	607	1	1557	8	581	639	208	595	309	905	333	1572	9	8	1556	913	1010	976	0	1	2	0	1	0	836	1559	1483	1141	1380	1564	1569	29	1345	1594	964	1007	985	1033	1052
F.RL1000009	94	449	94	703	679	688	1056	619	1158	584	1119	1024	1132	559	222	804	679	202	648	591	400	517	329	844	385	973	863	852	616	636	607	0	1564	7	576	640	212	591	308	905	334	1579	8	7	1563	914	1005	978	1	0	1	1	0	1	829	1566	1490	1146	1383	1571	1576	31	1351	1601	967	1009	987	1035	1054
F.RL1000003	95	453	95	715	685	694	1055	627	1170	592	1131	1034	1142	559	229	813	684	209	655	595	396	525	330	853	384	980	866	855	624	644	604	1	1565	8	584	643	219	599	309	911	333	1580	7	8	1564	918	1007	981	2	1	0	2	1	2	828	1567	1492	1150	1389	1573	1577	37	1355	1602	973	1013	991	1038	1058
F.RL1000004	95	448	95	710	686	695	1057	622	1158	587	1119	1025	1136	558	222	805	684	201	648	590	400	520	331	847	387	980	861	850	619	639	608	1	1560	8	579	641	212	594	310	907	335	1575	3	8	1559	910	1006	978	0	1	2	0	1	0	831	1562	1486	1141	1379	1567	1572	28	1345	1597	968	1010	988	1035	1055
F.RL1000005	94	415	94	708	686	695	2308	620	1149	593	1109	1028	1163	499	214	816	1735	195	638	566	528	523	329	845	384	1362	869	858	617	637	692	0	1927	7	698	632	203	599	308	913	829	1959	15	7	1937	901	2294	996	1	0	1	1	0	1	827	1553	1860	1513	1747	1933	1939	373	1704	1970	1305	1016	994	1043	1056
F.RL1000006	95	441	95	717	692	702	1055	628	1156	593	1117	1020	1127	547	220	808	689	202	654	583	397	526	331	854	388	985	868	857	625	645	610	1	1555	8	585	645	211	600	310	920	338	1572	3	8	1555	915	1005	978	0	1	2	0	1	0	835	1558	1482	1138	1371	1559	1564	24	1341	1589	961	1014	993	1040	1055
F.RL10000014	99	281	99	631	850	854	769	856	1017	849	985	859	686	490	193	768	751	175	408	355	793	779	862	1025	651	719	722	720	855	864	386	833	1093	824	829	401	181	841	828	815	822	1106	677	835	1092	710	472	668	836	829	828	831	827	835	0	1085	1031	774	979	1098	1105	372	978	1123	843	754	733	764	748
F.RL10000065	94	366	94	1530	1422	1428	1485	1637	1176	1614	1148	1251	1219	439	181	1357	1478	169	467	471	1476	1541	1609	1736	1436	1529	1375	1369	1640	1654	410	1561	5	1552	1617	454	178	1591	1573	1237	1667	6	1025	1568	6	1303	1425	1340	1559	1566	1567	1562	1553	1558	1085	0	5	265	758	6	6	129	741	5	1715	1398	1372	1402	1400
F.RL10000066	98	376	96	1472	1366	1375	2598	1570	1490	1930	1466	1167	1176	448	191	1266	2368	171	464	495	1843	1842	1545	1649	1367	1428	1313	1303	1573	1587	842	1486	0	1475	2003	457	181	1909	1506	1203	1651	1	946	1492	1	1594	2407	1261	1483	1490	1492	1486	1860	1482	1031	5	0	182	665	2	1	80	650	1	2142	1313	1287	1320	1319
F.RL10000068	94	354	92	1179	1084	1093	2435	1272	1334	1627	1303	764	857	450	184	906	1969	164	434	463	1468	1517	1170	1307	1008	997	1062	1054	1274	1297	802	1142	260	1137	1692	428	174	1607	1135	1098	1289	273	575	1150	258	1339	2193	883	1141	1146	1150	1141	1513	1138	774	265	182	0	0	263	260	141	2	268	1674	929	903	936	935
F.RL10000069	102	397	100	1431	1344	1351	2710	1535	1675	1889	1646	1005	1088	522	193	1150	2213	172	474	506	1667	1769	1396	1541	1236	1192	1310	1296	1539	1561	837	1376	750	1369	1951	466	181	1868	1360	1424	1496	764	633	1382	747	1622	2456	1115	1380	1383	1389	1379	1747	1371	979	758	665	0	0	754	750	386	4	762	1947	1165	1138	1170	1151
F.RL10000070	98	380	96	1550	1446	1454	2666	1642	1550	2000	1521	1243	1244	439	205	1363	2447	181	480	494	1913	1909	1624	1752	1450	1510	1392	1382	1645	1658	844	1562	1	1551	2063	469	192	1980	1585	1263	1739	2	1015	1568	2	1683	2477	1346	1564	1571	1573	1567	1933	1559	1098	6	2	263	754	0	0	121	739	2	2246	1398	1372	1405	1404
F.RL10000071	99	381	97	1562	1442	1452	2683	1652	1559	2016	1529	1244	1257	453	204	1349	2466	179	471	493	1931	1925	1634	1738	1453	1521	1391	1381	1656	1669	850	1567	1	1555	2089	463	190	1995	1594	1260	1738	2	1019	1572	2	1696	2489	1349	1569	1576	1577	1572	1939	1564	1105	6	1	260	750	0	0	121	736	2	2236	1402	1376	1410	1408
F.RL10000074	41	269	39	499	429	441	1776	403	808	724	777	409	517	331	125	456	1278	105	364	386	636	662	235	678	244	556	506	496	398	424	686	27	114	19	761	362	117	719	202	455	441	131	36	31	111	797	1613	498	29	31	37	28	373	24	372	129	80	141	386	121	121	0	367	140	1018	513	487	540	538
F.RL10000082	102	398	100	1404	1333	1342	2692	1508	1639	1848	1609	979	1062	512	187	1122	2172	169	467	507	1635	1730	1360	1507	1211	1162	1311	1298	1511	1535	817	1345	732	1339	1907	460	177	1829	1325	1424	1471	746	608	1356	730	1596	2453	1103	1345	1351	1355	1345	1704	1341	978	741	650	2	4	739	736	367	0	742	1880	1155	1126	1161	1139
F.RL10000084	99	385	97	1578	1475	1485	2704	1672	1584	2041	1555	1272	1281	460	203	1372	2491	179	480	500	1962	1950	1658	1762	1474	1554	1415	1406	1676	1689	864	1592	1	1580	2115	472	189	2019	1618	1287	1756	0	1039	1597	0	1724	2510	1377	1594	1601	1602	1597	1970	1589	1123	5	1	268	762	2	2	140	742	0	2275	1431	1405	1439	1437
R.CP006047	116	542	115	808	917	933	2691	1061	1510	1362	1452	874	1138	704	247	748	1810	222	676	732	988	1183	867	1207	737	1429	906	897	1054	1074	839	968	2219	948	1272	667	234	1369	814	1019	1495	2284	818	976	2240	1317	2526	892	964	967	973	968	1305	961	843	1715	2142	1674	1947	2246	2236	1018	1880	2275	0	870	832	910	908
S.RL15003018	100	460	101	966	891	896	1201	1173	1104	1161	1069	585	859	514	193	547	706	181	601	601	871	1040	958	1109	827	515	809	804	1166	1192	518	1016	1393	1003	1145	591	190	1141	926	990	845	1414	804	1021	1401	893	1129	111	1007	1009	1013	1010	1016	1014	754	1398	1313	929	1165	1398	1402	513	1155	1431	870	0	19	10	24
S.RL15003020	86	434	86	944	866	871	1177	1153	1071	1143	1036	558	828	492	173	526	683	165	581	575	850	1022	938	1089	808	497	785	780	1146	1171	500	995	1367	982	1126	572	170	1122	905	966	822	1388	782	999	1375	871	1105	96	985	987	991	988	994	993	733	1372	1287	903	1138	1372	1376	487	1126	1405	832	19	0	19	6
S.RL15003021	102	469	103	996	897	904	1234	1200	1132	1189	1097	608	864	517	196	550	736	184	604	611	906	1066	987	1115	854	526	813	808	1193	1219	525	1042	1401	1029	1178	594	193	1169	955	995	880	1422	830	1047	1409	920	1157	113	1033	1035	1038	1035	1043	1040	764	1402	1320	936	1170	1405	1410	540	1161	1439	910	10	19	0	24
S.RL15003022	90	476	91	1005	879	886	1226	1214	1141	1202	1106	587	849	528	198	539	755	182	602	620	917	1075	1004	1128	873	526	799	794	1207	1232	522	1058	1399	1044	1201	590	191	1176	970	979	893	1420	836	1061	1407	939	1145	102	1052	1054	1058	1055	1056	1055	748	1400	1319	935	1151	1404	1408	538	1139	1437	908	24	6	24	0
