	105112_RL1500001601-1	105154_RL1500013301-1	118141_RL1500004301-2	118146_RL1500015201-2	14554_RL14000100-1	150875_RL1500035502-1	150901_RL1500039802-1	153208_RL1500021201-2	153209_RL1500021301-2	159984_RL1500040002-2	159996_RL1500062702-2	163309_RL1500031201-2	163315_RL1500058301-2	165007_RL1500030602-1	165008_RL1500030702-1	165009_RL1500030802-1	165010_RL1500031002-1	165014_RL1500031602-1	165015_RL1500031702-1	165017_RL1500031902-1	165023_RL1500032702-1	165037_RL1500062802-1	165048_RL1500064002-1	165049_RL1500064102-1	165050_RL1500064202-1	165051_RL1500064302-1	165052_RL1500064402-1	165054_RL1500064702-1	172346_RL1500142701-2	172353_RL1500152801-2	176115_RL1400004401-1	177524_RL1500033901-2	177552_RL1500156701-2	177563_RL1500162001-2	188204_RL1400008901-1	188205_RL1400009301-1	188206_RL1400009401-1	189902_RL1500242201-2	189908_RL1500243001-2	227115_RL1500300503-2	27082_RL10000096-1	5568_RL10000018-2	5576_RL10000026-2	5585_RL10000036-2	5586_RL10000037-2	5587_RL10000038-2	5588_RL10000039-2	5589_RL10000040-2	5590_RL10000041-2	5591_RL10000042-2	5592_RL10000043-2	5594_RL10000045-2	5595_RL10000046-2	5596_RL10000047-2	5606_RL10000058-2	5607_RL10000059-2	5608_RL10000060-2	5609_RL10000061-2	5610_RL10000062-2	5633_RL10000090-2	5634_RL10000091-2	5635_RL10000092-2	5638_RL10000095-2	5639_RL10000097-2	5640_RL10000098-2	7602_RL14000017-2	9483_RL14000099-1
Uk.RL15000627	839	865	187	205	1054	149	877	2183	924	887	0	1115	16	1031	1269	1255	1262	1263	2268	1264	1126	12	14	15	17	14	12	15	225	201	1037	2423	1197	202	1056	1049	1059	207	874	2168	1013	1091	1034	1038	1035	1043	1035	1039	1037	1038	1037	1036	1035	1031	1456	1460	1460	1433	1433	1056	242	238	1038	1046	1055	1131	243
S.RL15000312	1168	1100	170	194	1001	177	1467	1178	1089	1383	1115	0	1096	1008	1004	997	996	1004	1050	997	4	1080	1122	1144	1125	1123	1155	1109	204	183	999	908	160	188	1014	1007	1018	181	1458	1229	1038	214	1028	1004	987	1001	994	999	992	993	997	992	1001	984	1262	1264	1265	1262	1262	1006	197	194	1002	962	1009	219	196
Uk.RL15000583	846	876	201	219	1039	164	887	2174	938	897	16	1096	0	1017	1243	1231	1238	1237	2242	1240	1107	4	6	1	3	6	4	7	244	215	1022	2399	1217	218	1041	1034	1044	221	883	2151	1005	1097	1019	1023	1020	1028	1020	1024	1022	1023	1022	1021	1020	1016	1431	1436	1436	1402	1402	1041	244	240	1026	1031	1040	1136	245
S.RL15000306	1137	1019	243	290	49	289	1428	2632	1248	1350	1031	1008	1017	0	1478	1444	1458	1467	2510	1458	1045	980	1044	1060	1056	1039	1073	1031	366	337	30	2427	1378	342	49	50	53	353	1392	2605	54	2030	27	32	30	31	31	31	30	36	28	30	30	28	898	907	908	865	865	51	99	95	50	54	49	2055	100
S.RL15000307	1482	1335	164	186	1456	167	1737	1117	1377	1643	1269	1004	1243	1478	0	13	1	2	34	2	1040	1223	1282	1292	1294	1287	1310	1261	195	175	1489	1135	152	180	1509	1496	1516	173	1719	1128	1495	211	1496	1478	1454	1493	1480	1491	1472	1458	1480	1456	1493	1442	1120	1120	1120	1117	1117	1451	226	222	1447	1405	1485	212	225
S.RL15000308	1460	1317	166	187	1427	169	1726	1106	1369	1630	1255	997	1231	1444	13	0	12	13	36	13	1029	1217	1268	1276	1276	1274	1291	1246	197	177	1459	1128	154	182	1479	1466	1486	175	1707	1114	1475	204	1462	1449	1425	1462	1451	1461	1442	1429	1450	1427	1463	1413	1078	1078	1078	1075	1075	1421	222	218	1421	1376	1456	209	221
S.RL15000310	1474	1329	163	185	1440	166	1730	1104	1369	1637	1262	996	1238	1458	1	12	0	1	33	1	1032	1218	1276	1284	1290	1282	1303	1256	193	174	1472	1132	151	179	1493	1479	1499	172	1713	1116	1484	206	1477	1459	1438	1476	1464	1474	1453	1442	1461	1440	1477	1426	1103	1103	1103	1101	1101	1434	220	216	1431	1390	1468	210	219
S.RL15000316	1470	1323	165	186	1445	168	1736	1111	1375	1641	1263	1004	1237	1467	2	13	1	0	34	2	1040	1222	1278	1285	1289	1281	1305	1254	196	176	1478	1132	153	181	1498	1485	1505	174	1718	1121	1492	205	1485	1467	1443	1482	1469	1480	1461	1447	1469	1445	1482	1431	1103	1103	1103	1100	1100	1440	218	214	1439	1394	1474	210	217
S.RL15000317	1527	1384	179	201	2479	1194	1785	1131	1419	1662	2268	1050	2242	2510	34	36	33	34	0	34	1082	2226	2283	2291	2294	2287	2310	2260	211	191	2513	1119	181	196	2534	2521	2541	189	1769	1137	2497	226	2549	2502	2478	2517	2504	2515	2496	2482	2504	2481	2517	2466	2177	2175	2177	2174	2174	2477	1255	1250	2465	2430	2510	233	1253
S.RL15000319	1462	1316	164	185	1438	167	1729	1105	1373	1635	1264	997	1240	1458	2	13	1	2	34	0	1033	1224	1276	1287	1283	1283	1301	1255	195	175	1470	1133	152	180	1490	1477	1498	173	1711	1115	1484	200	1476	1460	1436	1474	1462	1473	1453	1440	1462	1438	1474	1424	1092	1092	1092	1089	1089	1432	219	215	1430	1388	1467	205	218
S.RL15000327	1198	1117	172	196	1038	179	1502	1212	1093	1417	1126	4	1107	1045	1040	1029	1032	1040	1082	1033	0	1084	1138	1154	1140	1134	1170	1119	206	185	1036	922	162	190	1051	1044	1055	183	1494	1267	1072	215	1066	1041	1024	1038	1031	1036	1029	1029	1034	1029	1038	1021	1295	1297	1298	1295	1295	1043	201	198	1035	998	1046	220	200
Uk.RL15000628	829	855	189	207	1004	151	871	2154	915	880	12	1080	4	980	1223	1217	1218	1222	2226	1224	1084	0	2	3	5	2	0	3	227	203	988	2368	1199	204	1007	1000	1010	204	859	2137	976	1091	984	988	985	993	985	989	987	989	987	986	985	981	1378	1379	1380	1356	1356	1005	231	227	995	997	1005	1129	232
Uk.RL15000640	845	881	195	212	1070	157	883	2196	927	892	14	1122	6	1044	1282	1268	1276	1278	2283	1276	1138	2	0	5	7	4	2	5	237	209	1055	2430	1210	211	1074	1068	1075	215	880	2182	1024	1100	1047	1054	1051	1060	1053	1055	1053	1054	1053	1052	1051	1048	1461	1469	1470	1438	1438	1072	256	252	1055	1064	1073	1138	255
Uk.RL15000641	847	882	195	213	1081	158	892	2198	931	902	15	1144	1	1060	1292	1276	1284	1285	2291	1287	1154	3	5	0	2	5	3	6	238	209	1065	2425	1211	212	1084	1077	1087	210	880	2185	1046	1097	1065	1065	1062	1070	1062	1066	1064	1066	1064	1063	1062	1058	1483	1490	1491	1457	1457	1083	246	242	1066	1074	1082	1135	245
Uk.RL15000642	857	883	196	214	1079	159	893	2196	936	900	17	1125	3	1056	1294	1276	1290	1289	2294	1283	1140	5	7	2	0	7	5	8	239	210	1062	2442	1211	213	1081	1074	1084	216	890	2184	1033	1102	1057	1064	1060	1068	1061	1064	1062	1063	1062	1061	1060	1056	1486	1493	1494	1460	1460	1081	263	259	1063	1071	1080	1141	262
Uk.RL15000643	843	877	192	210	1061	155	885	2191	933	895	14	1123	6	1039	1287	1274	1282	1281	2287	1283	1134	2	4	5	7	0	2	5	235	206	1045	2430	1208	209	1064	1057	1067	207	873	2178	1025	1094	1045	1045	1042	1050	1042	1046	1044	1046	1044	1043	1042	1038	1469	1474	1475	1441	1441	1063	247	243	1046	1054	1062	1132	246
Uk.RL15000644	850	884	197	215	1098	160	887	2204	932	897	12	1155	4	1073	1310	1291	1303	1305	2310	1301	1170	0	2	3	5	2	0	3	240	211	1081	2455	1212	214	1100	1093	1103	217	884	2188	1047	1097	1075	1082	1079	1087	1079	1083	1081	1082	1081	1080	1079	1075	1517	1525	1526	1492	1492	1100	262	258	1082	1090	1099	1137	261
Uk.RL15000647	846	874	196	214	1051	159	890	2181	937	900	15	1109	7	1031	1261	1246	1256	1254	2260	1255	1119	3	5	6	8	5	3	0	239	210	1035	2400	1211	213	1054	1047	1057	211	879	2167	1018	1098	1034	1035	1032	1040	1032	1036	1034	1036	1034	1033	1032	1028	1439	1445	1446	1412	1412	1053	241	237	1036	1044	1052	1136	242
S.RL15001427	177	153	136	9	380	150	186	692	885	188	225	204	244	366	195	197	193	196	211	195	206	227	237	238	239	235	240	239	0	152	368	529	145	149	387	382	387	150	187	690	199	201	349	368	364	373	367	367	364	364	368	359	365	356	1273	1282	1282	1229	1233	383	340	338	338	378	383	210	341
S.RL15001528	43	40	15	140	357	122	44	677	858	47	201	183	215	337	175	177	174	176	191	175	185	203	209	209	210	206	211	210	152	0	340	520	117	47	358	353	358	48	47	670	180	139	320	339	335	345	338	338	336	336	340	335	337	328	1136	1140	1140	1116	1120	354	319	315	314	351	354	150	319
Ri.RL10000044	1158	1022	238	293	38	291	1455	2643	1280	1352	1037	999	1022	30	1489	1459	1472	1478	2513	1470	1036	988	1055	1065	1062	1045	1081	1035	368	340	0	2436	1380	352	38	39	42	355	1421	2616	41	2057	19	3	1	3	3	3	4	8	15	2	2	7	915	922	923	894	894	40	33	29	38	42	38	2079	34
F.RL15000339	1466	1212	460	458	2438	1586	1740	1485	1943	1639	2423	908	2399	2427	1135	1128	1132	1132	1119	1133	922	2368	2430	2425	2442	2430	2455	2400	529	520	2436	0	537	508	2453	2454	2453	528	1716	1522	2256	619	2782	2440	2425	2438	2432	2433	2429	2430	2432	2428	2440	2420	3766	3772	3773	3760	3762	2442	1468	1463	2382	2429	2446	621	1466
S.RL15001567	141	132	110	133	1389	1113	138	663	905	114	1197	160	1217	1378	152	154	151	153	181	152	162	1199	1210	1211	1211	1208	1212	1211	145	117	1380	537	0	113	1399	1394	1399	115	144	655	1173	106	1359	1379	1375	1384	1378	1378	1375	1375	1379	1369	1376	1367	2217	2228	2228	2185	2189	1395	1357	1353	1338	1391	1395	116	1352
S.RL15001620	49	42	43	137	366	119	41	673	861	44	202	188	218	342	180	182	179	181	196	180	190	204	211	212	213	209	214	213	149	47	352	508	113	0	370	365	372	45	49	658	186	142	332	351	347	356	349	350	347	347	351	345	348	340	1182	1189	1189	1156	1156	365	332	329	322	363	370	157	332
Ri.RL14000089	1173	1039	255	310	0	310	1471	2655	1293	1369	1056	1014	1041	49	1509	1479	1493	1498	2534	1490	1051	1007	1074	1084	1081	1064	1100	1054	387	358	38	2453	1399	370	0	2	4	373	1438	2629	3	2067	39	39	37	39	39	39	38	44	35	38	38	35	960	965	967	925	925	1	23	29	0	4	26	2088	37
Ri.RL14000093	1171	1034	257	314	2	305	1466	2649	1295	1363	1049	1007	1034	50	1496	1466	1479	1485	2521	1477	1044	1000	1068	1077	1074	1057	1093	1047	382	353	39	2454	1394	365	2	0	6	368	1433	2621	5	2073	41	40	38	40	40	40	39	45	36	39	39	36	938	942	943	911	911	4	25	31	2	6	28	2095	40
Ri.RL14000094	1178	1044	258	315	4	314	1481	2672	1304	1377	1059	1018	1044	53	1516	1486	1499	1505	2541	1498	1055	1010	1075	1087	1084	1067	1103	1057	387	358	42	2453	1399	372	4	6	0	373	1445	2646	6	2075	43	43	41	43	43	43	42	48	39	42	42	39	966	972	974	933	933	6	27	33	0	0	30	2099	42
S.RL15002422	9	8	42	138	370	120	6	683	890	6	207	181	221	353	173	175	172	174	189	173	183	204	215	210	216	207	217	211	150	48	355	528	115	45	373	368	373	0	5	679	179	144	336	354	350	360	353	353	350	350	355	350	351	342	1209	1216	1216	1188	1192	368	332	329	324	365	369	158	332
S.RL15002430	294	570	41	172	1431	163	4	2171	1275	4	874	1458	883	1392	1719	1707	1713	1718	1769	1711	1494	859	880	880	890	873	884	879	187	47	1421	1716	144	49	1438	1433	1445	5	0	2128	1222	218	1400	1419	1416	1431	1418	1417	1415	1410	1421	1417	1419	1407	2934	2940	2940	2898	2899	1427	524	520	1382	1421	1441	228	522
S.RL15003005	1829	1620	625	617	2600	1721	2141	17	2020	2062	2168	1229	2151	2605	1128	1114	1116	1121	1137	1115	1267	2137	2182	2185	2184	2178	2188	2167	690	670	2616	1522	655	658	2629	2621	2646	679	2128	0	2431	718	3019	2604	2595	2620	2622	2617	2601	2598	2613	2602	2609	2587	4056	4060	4060	4018	4018	2601	1475	1473	2550	2566	2626	718	1471
Ri.RL10000096	955	863	141	168	3	120	1254	2448	1187	1197	1013	1038	1005	54	1495	1475	1484	1492	2497	1484	1072	976	1024	1046	1033	1025	1047	1018	199	180	41	2256	1173	186	3	5	6	179	1222	2431	0	1085	44	42	40	42	42	42	41	47	38	41	41	38	934	935	936	905	905	4	66	72	3	6	29	1128	81
Ri.RL10000018	211	189	130	190	2062	1031	218	745	1032	170	1091	214	1097	2030	211	204	206	205	226	200	215	1091	1100	1097	1102	1094	1097	1098	201	139	2057	619	106	142	2067	2073	2075	144	218	718	1085	0	2074	2053	2051	2058	2052	2053	2050	2053	2052	2055	2050	2048	2943	2950	2950	2922	2922	2068	2037	2037	1894	2071	2071	5	2035
Ri.RL10000026	1123	996	229	271	40	275	1432	3034	1912	1342	1034	1028	1019	27	1496	1462	1477	1485	2549	1476	1066	984	1047	1065	1057	1045	1075	1034	349	320	19	2782	1359	332	39	41	43	336	1400	3019	44	2074	0	21	18	22	19	20	19	25	17	19	21	16	1648	1655	1656	1609	1609	41	81	77	40	44	40	2101	82
Ri.RL10000036	1162	1021	240	296	39	290	1453	2628	1276	1349	1038	1004	1023	32	1478	1449	1459	1467	2502	1460	1041	988	1054	1065	1064	1045	1082	1035	368	339	3	2440	1379	351	39	40	43	354	1419	2604	42	2053	21	0	2	0	0	0	5	9	16	3	3	8	905	914	915	888	888	41	34	30	39	43	39	2077	35
Ri.RL10000037	1156	1021	239	295	37	286	1450	2621	1274	1348	1035	987	1020	30	1454	1425	1438	1443	2478	1436	1024	985	1051	1062	1060	1042	1079	1032	364	335	1	2425	1375	347	37	38	41	350	1416	2595	40	2051	18	2	0	2	2	2	3	7	14	1	1	6	867	873	874	857	857	39	32	28	37	41	37	2074	33
Ri.RL10000038	1161	1029	242	298	39	295	1465	2647	1283	1361	1043	1001	1028	31	1493	1462	1476	1482	2517	1474	1038	993	1060	1070	1068	1050	1087	1040	373	345	3	2438	1384	356	39	40	43	360	1431	2620	42	2058	22	0	2	0	0	0	5	9	16	3	3	8	931	937	938	907	907	41	34	30	39	43	39	2080	35
Ri.RL10000039	1158	1023	241	297	39	289	1453	2646	1274	1350	1035	994	1020	31	1480	1451	1464	1469	2504	1462	1031	985	1053	1062	1061	1042	1079	1032	367	338	3	2432	1378	349	39	40	43	353	1418	2622	42	2052	19	0	2	0	0	0	5	9	16	3	3	8	905	912	913	888	888	40	34	30	39	43	39	2077	35
Ri.RL10000040	1156	1022	240	296	39	289	1451	2646	1273	1349	1039	999	1024	31	1491	1461	1474	1480	2515	1473	1036	989	1055	1066	1064	1046	1083	1036	367	338	3	2433	1378	350	39	40	43	353	1417	2617	42	2053	20	0	2	0	0	0	5	9	16	3	3	8	916	924	925	897	897	41	34	30	39	43	39	2076	35
Ri.RL10000041	1154	1022	240	294	38	286	1449	2628	1271	1346	1037	992	1022	30	1472	1442	1453	1461	2496	1453	1029	987	1053	1064	1062	1044	1081	1034	364	336	4	2429	1375	347	38	39	42	350	1415	2601	41	2050	19	5	3	5	5	5	0	10	15	4	4	7	887	897	898	876	876	39	33	29	38	42	38	2073	34
Ri.RL10000042	1151	1020	243	296	44	286	1443	2626	1275	1348	1038	993	1023	36	1458	1429	1442	1447	2482	1440	1029	989	1054	1066	1063	1046	1082	1036	364	336	8	2430	1375	347	44	45	48	350	1410	2598	47	2053	25	9	7	9	9	9	10	0	21	8	8	13	866	873	874	851	851	46	39	35	44	48	44	2075	40
Ri.RL10000043	1152	1021	239	295	35	290	1455	2642	1279	1352	1037	997	1022	28	1480	1450	1461	1469	2504	1462	1034	987	1053	1064	1062	1044	1081	1034	368	340	15	2432	1379	351	35	36	39	355	1421	2613	38	2052	17	16	14	16	16	16	15	21	0	15	15	12	906	911	912	884	884	37	29	26	35	39	34	2075	31
Ri.RL10000045	1154	1019	238	294	38	285	1452	2629	1274	1347	1036	992	1021	30	1456	1427	1440	1445	2481	1438	1029	986	1052	1063	1061	1043	1080	1033	359	335	2	2428	1369	345	38	39	42	350	1417	2602	41	2055	19	3	1	3	3	3	4	8	15	0	2	7	872	876	877	863	863	39	34	30	38	42	38	2079	35
Ri.RL10000046	1158	1024	240	294	38	287	1453	2634	1275	1350	1035	1001	1020	30	1493	1463	1477	1482	2517	1474	1038	985	1051	1062	1060	1042	1079	1032	365	337	2	2440	1376	348	38	39	42	351	1419	2609	41	2050	21	3	1	3	3	3	4	8	15	2	0	7	931	938	939	905	905	40	33	29	37	42	38	2073	34
Ri.RL10000047	1147	1017	235	288	35	278	1441	2615	1263	1338	1031	984	1016	28	1442	1413	1426	1431	2466	1424	1021	981	1048	1058	1056	1038	1075	1028	356	328	7	2420	1367	340	35	36	39	342	1407	2587	38	2048	16	8	6	8	8	8	7	13	12	7	7	0	852	858	859	839	839	36	30	26	35	39	35	2071	31
Ri.RL10000058	2505	2160	915	1037	877	1155	2997	4129	2956	2810	1456	1262	1431	898	1120	1078	1103	1103	2177	1092	1295	1378	1461	1483	1486	1469	1517	1439	1273	1136	915	3766	2217	1182	960	938	966	1209	2934	4056	934	2943	1648	905	867	931	905	916	887	866	906	872	931	852	0	0	0	7	7	870	169	163	860	809	917	2957	164
Ri.RL10000059	2508	2160	915	1037	877	1158	3006	4135	2962	2821	1460	1264	1436	907	1120	1078	1103	1103	2175	1092	1297	1379	1469	1490	1493	1474	1525	1445	1282	1140	922	3772	2228	1189	965	942	972	1216	2940	4060	935	2950	1655	914	873	937	912	924	897	873	911	876	938	858	0	0	0	7	7	874	170	163	862	810	923	2961	164
Ri.RL10000060	2508	2160	915	1037	879	1158	3006	4135	2962	2821	1460	1265	1436	908	1120	1078	1103	1103	2177	1092	1298	1380	1470	1491	1494	1475	1526	1446	1282	1140	923	3773	2228	1189	967	943	974	1216	2940	4060	936	2950	1656	915	874	938	913	925	898	874	912	877	939	859	0	0	0	7	7	877	171	163	864	811	924	2961	164
Ri.RL10000061	2498	2152	916	1033	857	1131	2956	4088	2913	2774	1433	1262	1402	865	1117	1075	1101	1100	2174	1089	1295	1356	1438	1457	1460	1441	1492	1412	1229	1116	894	3760	2185	1156	925	911	933	1188	2898	4018	905	2922	1609	888	857	907	888	897	876	851	884	863	905	839	7	7	7	0	0	851	172	164	848	790	895	2945	165
Ri.RL10000062	2498	2152	916	1033	857	1131	2957	4088	2913	2778	1433	1262	1402	865	1117	1075	1101	1100	2174	1089	1295	1356	1438	1457	1460	1441	1492	1412	1233	1120	894	3762	2189	1156	925	911	933	1192	2899	4018	905	2922	1609	888	857	907	888	897	876	851	884	863	905	839	7	7	7	0	0	851	172	164	848	790	895	2945	165
Ri.RL10000090	1168	1035	258	313	1	306	1464	2628	1288	1362	1056	1006	1041	51	1451	1421	1434	1440	2477	1432	1043	1005	1072	1083	1081	1063	1100	1053	383	354	40	2442	1395	365	1	4	6	368	1427	2601	4	2068	41	41	39	41	40	41	39	46	37	39	40	36	870	874	877	851	851	0	25	31	2	6	28	2090	40
Ri.RL10000091	485	411	236	291	23	269	534	1492	420	430	242	197	244	99	226	222	220	218	1255	219	201	231	256	246	263	247	262	241	340	319	33	1468	1357	332	23	25	27	332	524	1475	66	2037	81	34	32	34	34	34	33	39	29	34	33	30	169	170	171	172	172	25	0	22	23	27	22	2058	31
Ri.RL10000092	482	400	230	289	29	265	530	1493	421	428	238	194	240	95	222	218	216	214	1250	215	198	227	252	242	259	243	258	237	338	315	29	1463	1353	329	29	31	33	329	520	1473	72	2037	77	30	28	30	30	30	29	35	26	30	29	26	163	163	163	164	164	31	22	0	29	33	28	2058	27
Ri.RL10000095	1123	1003	227	282	0	262	1416	2577	1257	1314	1038	1002	1026	50	1447	1421	1431	1439	2465	1430	1035	995	1055	1066	1063	1046	1082	1036	338	314	38	2382	1338	322	0	2	0	324	1382	2550	3	1894	40	39	37	39	39	39	38	44	35	38	37	35	860	862	864	848	848	2	23	29	0	0	26	1921	38
Ri.RL10000097	1163	1030	257	310	4	302	1456	2596	1283	1353	1046	962	1031	54	1405	1376	1390	1394	2430	1388	998	997	1064	1074	1071	1054	1090	1044	378	351	42	2429	1391	363	4	6	0	365	1421	2566	6	2071	44	43	41	43	43	43	42	48	39	42	42	39	809	810	811	790	790	6	27	33	0	0	30	2093	42
Ri.RL10000098	1178	1041	254	311	26	310	1475	2654	1297	1368	1055	1009	1040	49	1485	1456	1468	1474	2510	1467	1046	1005	1073	1082	1080	1062	1099	1052	383	354	38	2446	1395	370	26	28	30	369	1441	2626	29	2071	40	39	37	39	39	39	38	44	34	38	38	35	917	923	924	895	895	28	22	28	26	30	0	2093	37
Ri.RL10000017	216	200	141	203	2084	1083	230	737	1004	185	1131	219	1136	2055	212	209	210	210	233	205	220	1129	1138	1135	1141	1132	1137	1136	210	150	2079	621	116	157	2088	2095	2099	158	228	718	1128	5	2101	2077	2074	2080	2077	2076	2073	2075	2075	2079	2073	2071	2957	2961	2961	2945	2945	2090	2058	2058	1921	2093	2093	0	2056
Ri.RL14000099	482	408	236	292	38	270	532	1489	419	428	243	196	245	100	225	221	219	217	1253	218	200	232	255	245	262	246	261	242	341	319	34	1466	1352	332	37	40	42	332	522	1471	81	2035	82	35	33	35	35	35	34	40	31	35	34	31	164	164	164	165	165	40	31	27	38	42	37	2056	0
