	10403S	105122_RL1500008901-1	105130_RL1500009901-1	118088_RL1500007201-2	118129_RL1500006601-2	14473_H140480008-1	150705_RL1500025001-1	150871_RL1500035102-1	153216_RL1500026001-2	153231_RL1500027501-2	153234_RL1500027901-2	153258_RL1500030401-2	153488_RL1500044501-1	153493_RL1500045001-1	159980_RL1500038902-2	159993_RL1500054302-2	160000_RL1500065402-2	160041_RL1500053501-2	160044_RL1500065801-2	163380_RL1500137201-2	165018_RL1500032002-1	168160_RL1500016202-2	168197_RL1500138001-2	172361_RL1500153901-2	175627_RL1500129101-2	175649_RL1500156801-2	175653_RL1500157801-2	176136_RL1500156601-1	176160_RL1500160401-1	176167_RL1500161101-1	176168_RL1500161201-1	176170_RL1500161401-1	176174_RL1500161801-1	176183_RL1500163101-1	177517_RL1500027301-2	177555_RL1500157201-2	188196_RL1400006301-1	227113_RL1500300203-2	227117_RL1500300703-2	7364_H132340048-1	7365_H132860463-1	7370_H140620003-1	7372_H140680419-1	7373_H140760087-1	9405_H131960044-1
F.RL15000279	209	242	249	174	203	268	0	187	1	0	0	205	97	202	229	234	192	135	119	271	69	207	169	189	268	89	208	113	47	45	33	248	198	146	208	102	236	109	108	266	266	269	270	266	263
F.RL15000304	136	295	300	192	239	387	186	535	194	191	205	0	114	295	388	401	137	129	1126	392	459	10	147	115	325	132	135	124	792	785	736	303	1064	1276	1315	125	164	133	132	395	388	391	391	387	366
F.RL15000445	107	205	206	166	178	118	97	99	98	96	97	114	0	88	113	118	101	54	101	119	72	117	115	87	114	99	105	91	99	100	97	128	100	130	167	92	134	99	98	117	118	117	118	118	119
F.RL15000450	333	236	238	170	199	342	183	167	191	188	202	295	88	0	258	263	313	212	302	345	149	297	342	313	354	326	333	287	256	258	216	175	287	215	380	319	352	321	320	340	341	344	344	341	338
F.RL15000389	406	257	253	192	217	406	209	222	217	214	229	388	113	258	0	5	396	324	236	408	175	392	414	386	373	398	404	355	206	205	186	183	226	223	296	391	421	389	388	403	404	407	407	403	400
F.RL15000543	419	262	258	194	222	418	214	227	222	219	234	401	118	263	5	0	409	337	241	420	180	405	427	399	380	411	417	368	211	210	191	189	231	228	301	404	434	402	401	415	416	419	419	415	412
F.RL15000654	110	253	252	153	203	354	173	556	181	178	192	137	101	313	396	409	0	112	1184	361	492	139	133	100	295	117	128	109	812	806	750	214	1128	1325	1327	110	103	118	117	363	356	360	360	356	332
F.RL15000535	115	184	193	108	145	287	116	418	124	122	135	129	54	212	324	337	112	0	635	294	333	131	109	96	230	95	120	87	611	607	550	206	548	877	804	88	140	96	95	298	292	292	293	292	272
F.RL15000658	1201	235	246	176	196	284	119	378	120	119	119	1126	101	302	236	241	1184	635	0	289	302	1128	1168	1179	265	1142	1197	1079	1000	998	985	179	959	922	487	1135	1207	1142	1140	286	287	286	287	287	281
O.RL15001372	436	268	265	173	219	1	251	412	259	256	271	392	119	345	408	420	361	294	289	0	288	394	461	428	195	445	455	380	434	442	393	180	305	410	372	438	413	434	433	2	3	1	1	1	4
S.RL15000320	506	190	196	144	158	285	69	110	70	69	69	459	72	149	175	180	492	333	302	288	0	461	484	487	293	465	506	401	129	128	129	121	308	197	497	458	531	452	450	284	285	284	285	285	283
F.RL15000162	139	296	301	194	241	388	188	537	196	193	207	10	117	297	392	405	139	131	1128	394	461	0	150	117	328	134	137	126	801	794	740	304	1065	1288	1317	127	166	135	134	396	390	393	393	389	368
S.RL15001380	141	294	303	189	234	454	150	588	158	156	169	147	115	342	414	427	133	109	1168	461	484	150	0	119	388	92	139	84	790	784	729	306	1161	1301	1368	85	168	93	92	463	456	459	460	456	432
S.RL15001539	100	261	267	155	201	421	170	566	178	175	189	115	87	313	386	399	100	96	1179	428	487	117	119	0	355	103	106	95	811	805	748	270	1139	1318	1335	96	127	104	103	429	423	427	427	423	399
S.RL15001291	363	260	257	169	210	191	248	388	256	253	268	325	114	354	373	380	295	230	265	195	293	328	388	355	0	372	382	301	419	425	377	156	272	370	363	365	343	362	361	200	194	194	194	194	188
S.RL15001568	124	279	287	176	221	438	70	572	78	76	89	132	99	326	398	411	117	95	1142	445	465	134	92	103	372	0	123	22	710	704	651	290	1146	1286	1352	23	151	31	30	447	440	443	444	440	416
S.RL15001578	128	286	292	178	228	448	189	584	197	194	208	135	105	333	404	417	128	120	1197	455	506	137	139	106	382	123	0	115	830	824	768	296	1157	1336	1362	116	155	124	123	456	450	453	454	450	426
S.RL15001566	117	246	252	168	197	374	94	496	102	100	113	124	91	287	355	368	109	87	1079	380	401	126	84	95	301	22	115	0	722	717	664	242	1078	1258	1181	5	144	23	22	382	375	378	379	375	358
S.RL15001604	832	218	222	177	187	432	43	209	45	44	47	792	99	256	206	211	812	611	1000	434	129	801	790	811	419	710	830	722	0	1	1	143	1020	1002	1101	723	858	729	728	431	433	432	433	433	429
S.RL15001611	826	219	223	178	188	440	40	208	42	41	45	785	100	258	205	210	806	607	998	442	128	794	784	805	425	704	824	717	1	0	2	144	1016	1003	1100	717	852	723	722	439	441	440	441	441	437
S.RL15001612	769	220	223	177	186	391	31	206	33	32	33	736	97	216	186	191	750	550	985	393	129	740	729	748	377	651	768	664	1	2	0	144	1002	989	1072	664	795	670	669	390	392	391	392	392	388
S.RL15001614	278	271	279	184	233	178	248	202	249	247	248	303	128	175	183	189	214	206	179	180	121	304	306	270	156	290	296	242	143	144	144	0	219	210	252	283	226	280	281	185	180	179	179	183	175
S.RL15001618	1161	256	263	179	211	303	198	322	199	197	198	1064	100	287	226	231	1128	548	959	305	308	1065	1161	1139	272	1146	1157	1078	1020	1016	1002	219	0	1174	1056	1139	1170	1119	1118	302	304	303	304	304	301
S.RL15001631	1338	284	287	207	240	407	146	274	147	145	146	1276	130	215	223	228	1325	877	922	410	197	1288	1301	1318	370	1286	1336	1258	1002	1003	989	210	1174	0	1175	1280	1341	1279	1278	411	407	407	409	407	402
F.RL15000273	1344	190	196	109	152	369	208	570	209	207	208	1315	167	380	296	301	1327	804	487	372	497	1317	1368	1335	363	1352	1362	1181	1101	1100	1072	252	1056	1175	0	1345	1358	1353	1352	375	367	371	371	367	356
S.RL15001572	118	272	280	169	215	431	83	565	91	89	102	125	92	319	391	404	110	88	1135	438	458	127	85	96	365	23	116	5	723	717	664	283	1139	1280	1345	0	145	24	23	440	433	436	437	433	409
F.RL14000063	137	266	273	188	223	406	217	575	225	222	236	164	134	352	421	434	103	140	1207	413	531	166	168	127	343	151	155	144	858	852	795	226	1170	1341	1358	145	0	153	152	415	411	412	411	411	389
S.RL15003002	126	272	279	175	220	427	90	554	98	96	109	133	99	321	389	402	118	96	1142	434	452	135	93	104	362	31	124	23	729	723	670	280	1119	1279	1353	24	153	0	1	436	429	432	433	429	405
S.RL15003007	125	271	278	174	219	426	89	553	97	95	108	132	98	320	388	401	117	95	1140	433	450	134	92	103	361	30	123	22	728	722	669	281	1118	1278	1352	23	152	1	0	435	428	431	432	428	404
O.RL15001396	438	266	264	171	218	1	246	413	254	251	266	395	117	340	403	415	363	298	286	2	284	396	463	429	200	447	456	382	431	439	390	185	302	411	375	440	415	436	435	0	1	1	1	1	2
O.RL15001398	431	266	265	172	219	2	246	409	254	251	266	388	118	341	404	416	356	292	287	3	285	390	456	423	194	440	450	375	433	441	392	180	304	407	367	433	411	429	428	1	0	2	2	2	3
O.RL15001408	434	266	263	171	217	0	249	411	257	254	269	391	117	344	407	419	360	292	286	1	284	393	459	427	194	443	453	378	432	440	391	179	303	407	371	436	412	432	431	1	2	0	0	0	3
O.RL15001410	435	268	265	171	219	0	250	411	258	255	270	391	118	344	407	419	360	293	287	1	285	393	460	427	194	444	454	379	433	441	392	179	304	409	371	437	411	433	432	1	2	0	0	0	3
O.RL15001411	430	266	267	172	219	0	246	411	254	251	266	387	118	341	403	415	356	292	287	1	285	389	456	423	194	440	450	375	433	441	392	183	304	407	367	433	411	429	428	1	2	0	0	0	3
O.RL15001395	406	264	264	173	218	3	243	397	251	248	263	366	119	338	400	412	332	272	281	4	283	368	432	399	188	416	426	358	429	437	388	175	301	402	356	409	389	405	404	2	3	3	3	3	0
