	105113_RL1500001701-1	105119_RL1500008401-1	105121_RL1500008801-1	105125_RL1500009401-1	105126_RL1500009501-1	105128_RL1500009701-1	105131_RL1500010001-1	105132_RL1500010101-1	105134_RL1500010501-1	105137_RL1500010901-1	105141_RL1500011501-1	105150_RL1500012601-1	105164_RL1500017901-1	106070_RL1500019201-1	106072_RL1500019401-1	106094_RL1500021001-1	118145_RL1500014901-2	150653_RL1500002901-1	150663_RL1500012001-1	150667_RL1500013201-1	150669_RL1500014101-1	150670_RL1500019301-1	150678_RL1500022001-1	150695_RL1500023801-1	150863_RL1500024501-1	150920_RL1500042302-1	150921_RL1500042602-1	150922_RL1500042802-1	150923_RL1500042902-1	150930_RL1500043602-1	153223_RL1500026701-2	153226_RL1500027001-2	153230_RL1500027401-2	153235_RL1500028101-2	153242_RL1500028801-2	153246_RL1500029201-2	153247_RL1500029301-2	153248_RL1500029401-2	153252_RL1500029801-2	153254_RL1500030001-2	153259_RL1500030501-2	153263_RL1500033201-2	153265_RL1500033401-2	153266_RL1500033501-2	153271_RL1500034101-2	153280_RL1500042402-2	153281_RL1500042502-2	153508_RL1500046501-1	153547_RL1500050601-1	159975_RL1500032302-2	159978_RL1500038702-2	160003_RL1500065702-2	160018_RL1500128202-2	160033_RL1500052701-2	160048_RL1500066301-2	160051_RL1500066601-2	160075_RL1500069501-2	160093_RL1500071601-2	163343_RL1500132301-2	163351_RL1500133201-2	163356_RL1500133501-2	165013_RL1500031502-1	168139_RL1500005702-2	168140_RL1500005902-2	172327_RL1500010601-2	172367_RL1500155301-2	172368_RL1500155401-2	172373_RL1500156101-2	175637_RL1500132101-2	175641_RL1500132701-2	176149_RL1500159301-1	176151_RL1500159501-1	176161_RL1500160501-1	176181_RL1500162901-1	176189_RL1500163801-1	176395_RL1500164201-1	176431_RL1500165301-1	177519_RL1500029101-2	177520_RL1500029901-2	177522_RL1500033001-2	177523_RL1500033701-2	177533_RL1500129001-2	177548_RL1500154501-2	177558_RL1500157601-2	177560_RL1500158001-2	177561_RL1500158201-2	177568_RL1500164001-2	188213_RL1500005201-1	188214_RL1500006701-1	188223_RL1500029001-1	188225_RL1500035901-1	189887_RL1500243201-2	191714_RL1500017101-2	227112_RL1500300103-2	227118_RL1500300803-2	CP006862	RL15003015	RL15003025	RL15003028
F.RL15000115	979	215	943	995	962	1743	1010	180	953	1037	0	1160	1015	13	11	1098	2931	911	1089	2017	2488	2057	1190	1357	2053	1069	1069	1080	1065	1272	1088	1037	1075	1940	1133	1081	1068	1073	2012	1273	1172	1245	1084	1258	2086	1083	1076	1042	3755	1035	1063	1098	1272	1023	2971	1185	1217	762	1186	1191	3024	1244	1861	1949	1046	2090	981	1063	1183	1375	3635	1058	1211	1249	1082	1150	1202	1050	1071	1240	231	2626	42	1035	1118	1077	1070	1334	2531	228	1074	1284	1123	2103	1239	2618	1160	1162	1091
F.RL15000126	1995	937	1846	1951	1891	1127	1991	952	1860	2051	1160	0	1912	841	825	2129	3060	1666	2350	1963	2008	1421	1960	1980	1610	2354	2346	2370	2337	2191	2136	1997	2119	1301	1932	2409	2353	2351	2068	2035	1937	2220	2382	1998	1442	2381	2357	2238	3850	1941	1984	2398	2072	1667	4029	1807	1139	1853	2054	2086	3242	974	1507	1363	2080	2087	1802	2093	2053	1890	3291	2321	1977	2105	2339	1705	1008	2272	2367	2208	1044	2410	857	850	2096	2396	2361	2030	2072	1016	2364	2163	1904	2095	1895	2074	2215	2164	1827
F.RL15000179	768	1084	830	885	843	1602	901	1029	844	962	1015	1912	0	41	39	1008	2592	779	997	1739	2010	2081	1312	1346	2437	896	904	907	903	1225	1010	949	991	1830	1107	913	902	905	1816	651	1298	1151	911	632	2104	918	902	866	3412	548	677	922	1007	566	2655	789	1106	1081	949	954	2701	1314	1704	1943	970	1791	916	974	952	1243	3674	889	932	1019	890	850	1164	866	898	1144	1140	2596	37	974	575	915	902	1263	2276	1112	906	1060	837	1793	1100	2242	590	615	975
F.RL15000192	46	17	15	7	10	849	13	13	4	13	13	841	41	0	11	13	1901	38	12	971	1514	1125	46	54	1522	38	38	39	38	46	12	14	18	948	40	39	38	39	987	41	60	55	39	41	1134	40	38	36	2808	43	67	60	43	51	1894	41	338	51	39	44	1946	76	874	1077	16	981	54	12	46	42	2638	35	32	41	45	40	1476	39	39	56	14	2758	42	1197	51	40	35	47	1521	12	38	55	45	956	59	1547	54	53	53
F.RL15000194	44	15	13	11	8	839	5	11	8	11	11	825	39	11	0	10	1900	38	10	940	1443	1097	44	52	1448	35	35	36	35	43	11	12	14	931	39	37	36	37	959	40	58	53	37	40	1106	37	35	34	2788	41	66	58	41	50	1893	40	316	49	37	42	1945	76	851	1049	14	950	53	8	44	40	2625	33	30	39	43	39	1404	37	37	54	12	2753	41	1142	49	38	33	46	1448	10	36	53	45	932	57	1473	52	52	52
F.RL15000210	673	1431	13	11	8	823	8	1279	8	10	1098	2129	1008	13	10	0	2608	1096	180	1727	2777	2601	931	1174	2820	752	764	759	763	1324	9	12	9	912	1132	773	763	764	1734	967	932	673	765	955	2607	772	757	736	3587	1028	891	782	867	1096	2744	1310	1413	1432	842	849	2771	1271	2269	2488	13	1795	1092	3	835	1110	3772	751	1103	1026	757	1278	1458	721	753	673	1497	2798	42	1159	970	765	759	1216	2581	1479	765	1156	934	1786	1144	2632	976	968	1178
F.RL15000149	2337	3063	2498	2540	2513	2487	2561	2969	2474	2592	2931	3060	2592	1901	1900	2608	0	2891	2613	2660	2975	3268	2818	2894	3248	2373	2379	2380	2379	2855	2613	2572	2608	2604	2946	2392	2385	2378	2384	2810	2814	2571	2381	2803	3295	2384	2384	2357	52	2691	2630	2411	2722	2824	32	2939	2932	3100	2617	2630	10	3020	3114	3190	2595	2709	2706	2603	2625	3026	1144	2370	2958	2811	2400	2921	1916	2371	2382	2573	3130	135	1894	1928	2709	2389	2387	3152	2831	2886	2386	2596	2732	2711	2914	3089	2713	2689	2811
F.RL15000029	1103	1058	896	936	900	1718	958	993	891	1045	911	1666	779	38	38	1096	2891	0	1266	1977	2482	2109	1150	1431	2586	1293	1292	1313	1287	1453	1094	1029	1081	1979	846	1320	1303	1302	2179	942	1137	1201	1318	921	2124	1318	1297	1234	3948	933	973	1353	1088	716	3116	893	863	1228	1151	1172	3136	1142	1783	2009	1045	1991	850	1060	1151	1117	3607	1270	877	1249	1315	870	1495	1236	1292	1201	1140	2806	34	1214	1044	1311	1317	1098	2644	1095	1309	1393	1019	2004	1094	2648	1107	1089	970
F.RL15000120	505	1409	130	139	131	960	154	1271	125	168	1089	2350	997	12	10	180	2613	1266	0	1942	3050	2804	1249	1383	3105	564	571	567	571	1162	168	156	171	1079	1277	577	572	573	1791	1191	1242	933	572	1165	2832	574	566	549	3552	1016	1070	594	1124	1239	2696	1474	1707	1350	1014	1013	2730	1612	2419	2668	165	2007	1118	169	1001	1352	4085	563	1230	1072	574	1496	1426	554	567	931	1474	2765	41	1167	850	575	571	1438	2776	1456	572	948	1159	2020	1440	2974	856	861	1197
F.RL15000132	1526	2161	1418	1541	1470	1419	1566	2002	1410	1629	2017	1963	1739	971	940	1727	2660	1977	1942	0	2264	2159	1929	2007	2553	1907	1927	1928	1913	2406	1744	1561	1722	1670	2209	1976	1926	1899	1580	1837	1899	1649	1939	1829	2171	1923	1938	1768	3241	1648	1804	1941	954	1812	3679	2136	1516	2530	1195	1221	2811	1415	1883	2038	1687	78	2150	1704	1173	1917	4008	1857	2069	2038	1867	2033	1093	1863	1926	1639	2395	2683	957	770	2063	1950	1899	2149	2232	2325	1913	2156	1689	62	1814	2224	2136	2123	2224
F.RL15000141	2440	2480	2189	2404	2322	2120	2474	2289	2255	2613	2488	2008	2010	1514	1443	2777	2975	2482	3050	2264	0	2248	2911	2668	1348	3003	3014	3026	3004	3126	2831	2564	2783	2623	2796	3087	3003	3001	2168	2349	2835	2846	3040	2273	2252	3055	3035	2791	3747	2330	2548	3061	2683	2125	4522	2519	1657	2852	2710	2783	3201	1328	1482	2004	2724	2235	2741	2710	2679	2704	4226	2927	2725	2905	2952	2294	3	2893	3020	2833	2838	2818	1461	927	2629	3065	3032	2861	1158	2742	3025	2930	2431	2230	2619	1215	2763	2747	2912
F.RL15000193	2397	2002	2186	2326	2248	1830	2382	1888	2190	2486	2057	1421	2081	1125	1097	2601	3268	2109	2804	2159	2248	0	2532	2352	2354	2861	2858	2880	2843	2537	2624	2431	2597	2156	2347	2923	2859	2858	1996	2195	2492	2780	2899	2147	4	2891	2862	2707	3683	2280	2540	2874	2558	1795	4511	1937	1437	2216	2615	2654	3476	1063	962	3	2552	2217	2201	2562	2600	2191	3441	2812	2309	2488	2821	1847	1172	2762	2875	2777	2214	2688	1115	581	2404	2908	2867	2347	2295	2159	2876	2584	2360	2219	2356	2405	2496	2465	2217
F.RL15000220	1045	1293	775	802	774	1614	826	1240	748	906	1190	1960	1312	46	44	931	2818	1150	1249	1929	2911	2532	0	1034	2860	1252	1253	1259	1249	1404	925	890	920	1871	1089	1279	1265	1245	2158	1368	51	784	1262	1365	2551	1243	1251	1182	3864	1200	1300	1282	1022	1035	3035	1255	1424	1454	1253	1277	3056	1227	2154	2419	898	1951	1005	910	1227	837	3712	1209	1231	856	1227	1220	1534	1220	1254	790	1425	2828	41	1219	1419	1261	1262	1391	2682	1366	1248	1345	1352	1956	404	2895	1434	1411	1129
F.RL15000238	1152	1275	940	986	935	1732	1036	1209	930	1143	1357	1980	1346	54	52	1174	2894	1431	1383	2007	2668	2352	1034	0	2773	1383	1382	1397	1370	1193	1169	1113	1158	2030	1324	1408	1381	1364	2244	1301	1029	1202	1397	1281	2383	1376	1378	1290	3924	1127	1414	1402	1265	905	3115	1126	1648	1361	1240	1277	3132	1187	2137	2208	1133	2092	1154	1144	1228	810	3555	1336	1333	899	1343	1090	1393	1330	1384	1209	1417	2769	49	1160	1287	1388	1381	1281	2371	1351	1370	1168	1358	2115	1155	2632	1334	1284	1158
F.RL15000245	2635	1991	2228	2412	2339	2137	2488	1890	2271	2646	2053	1610	2437	1522	1448	2820	3248	2586	3105	2553	1348	2354	2860	2773	0	3282	3286	3313	3281	3122	2873	2597	2824	2675	2774	3374	3277	3281	2388	2808	2785	3086	3317	2714	2369	3331	3300	3046	4041	2849	2925	3319	2994	2564	4853	2656	1608	2801	2889	2967	3523	1443	1657	2106	2745	2508	2707	2747	2839	2786	4329	3193	2753	2895	3200	2439	102	3161	3307	3079	2356	2815	1467	920	3006	3352	3299	2906	1398	2253	3303	3131	2753	2517	2637	1387	3135	3120	2905
F.RL15000423	35	1347	642	674	629	1486	699	1239	635	730	1069	2354	896	38	35	752	2373	1293	564	1907	3003	2861	1252	1383	3282	0	0	1	0	847	750	724	738	1667	1389	30	29	30	1497	1343	1244	841	30	1322	2891	2	0	25	3295	1021	1069	49	1078	1274	2439	1472	1713	1292	936	937	2478	1553	2398	2712	736	1953	1081	733	935	1411	4013	24	1400	1049	34	1470	1460	29	29	843	1443	2792	32	1186	851	30	24	1545	2778	1409	27	503	1077	1959	1400	3234	861	859	1198
F.RL15000426	35	1346	650	683	638	1499	708	1247	645	744	1069	2346	904	38	35	764	2379	1292	571	1927	3014	2858	1253	1382	3286	0	0	1	0	836	762	736	752	1683	1386	30	29	30	1492	1353	1245	856	30	1332	2889	2	0	25	3302	1029	1075	49	1092	1274	2442	1468	1709	1282	944	945	2482	1564	2400	2708	748	1958	1080	747	943	1410	4023	24	1398	1045	34	1468	1463	29	29	858	1438	2803	32	1189	860	30	24	1549	2768	1404	27	487	1087	1978	1392	3249	869	868	1196
F.RL15000428	36	1363	646	678	634	1488	703	1255	642	739	1080	2370	907	39	36	759	2380	1313	567	1928	3026	2880	1259	1397	3313	1	1	0	1	851	757	731	747	1671	1403	31	30	31	1490	1361	1251	857	31	1340	2910	3	1	26	3302	1034	1082	50	1093	1297	2444	1491	1726	1299	957	958	2483	1571	2418	2730	743	1961	1095	742	956	1424	4029	25	1417	1062	35	1490	1469	30	30	858	1456	2802	33	1190	858	31	25	1567	2798	1422	28	504	1098	1981	1412	3272	869	867	1212
F.RL15000429	35	1343	648	680	636	1490	705	1246	642	741	1065	2337	903	38	35	763	2379	1287	571	1913	3004	2843	1249	1370	3281	0	0	1	0	836	761	735	749	1671	1379	30	29	30	1496	1353	1241	849	30	1332	2874	2	0	25	3293	1025	1078	49	1084	1273	2439	1466	1695	1278	944	945	2479	1546	2399	2695	747	1943	1078	744	943	1403	4002	24	1392	1038	34	1463	1462	29	29	851	1435	2801	32	1185	855	30	24	1534	2772	1401	27	487	1090	1963	1388	3246	864	863	1194
F.RL15000436	755	1209	1124	1169	1125	1975	1207	1174	1118	1298	1272	2191	1225	46	43	1324	2855	1453	1162	2406	3126	2537	1404	1193	3122	847	836	851	836	0	1320	1288	1315	2253	1344	853	845	847	2100	1534	1389	1525	853	1511	2563	846	836	803	3838	1281	1507	847	1609	1247	2971	1344	1776	1300	1422	1437	3004	1289	2278	2400	1291	2441	930	1300	1426	1196	3767	831	1330	1009	820	1239	1515	814	853	1532	1260	2850	40	1202	1043	854	845	1300	2816	1223	852	606	1555	2473	1401	3239	1083	1033	857
F.RL15000267	671	1417	12	10	7	841	9	1267	7	9	1088	2136	1010	12	11	9	2613	1094	168	1744	2831	2624	925	1169	2873	750	762	757	761	1320	0	11	14	930	1126	771	761	762	1754	962	926	662	764	950	2630	770	755	735	3607	1020	893	781	863	1096	2747	1307	1429	1427	840	847	2774	1268	2291	2511	12	1795	1091	8	833	1106	3787	749	1095	1019	756	1271	1509	719	751	662	1484	2816	41	1196	970	763	758	1210	2639	1465	765	1153	937	1786	1142	2684	973	966	1176
F.RL15000270	646	1345	7	13	10	766	12	1215	10	4	1037	1997	949	14	12	12	2572	1029	156	1561	2564	2431	890	1113	2597	724	736	731	735	1288	11	0	17	843	1061	746	736	737	1601	902	891	635	739	890	2440	744	729	710	3440	970	851	759	808	1028	2703	1243	1350	1368	783	790	2732	1225	2120	2319	5	1632	1058	11	776	1078	3679	724	1036	977	733	1200	1298	694	726	634	1414	2691	43	1035	929	738	733	1165	2367	1398	739	1114	872	1619	1084	2399	939	929	1140
F.RL15000274	661	1404	18	16	13	840	13	1253	13	15	1075	2119	991	18	14	9	2608	1081	171	1722	2783	2597	920	1158	2824	738	752	747	749	1315	14	17	0	925	1105	760	750	751	1738	943	921	650	753	929	2602	758	743	724	3593	1002	883	772	846	1078	2741	1280	1415	1408	819	826	2768	1256	2274	2485	18	1774	1089	8	812	1094	3763	738	1076	1009	745	1249	1482	711	740	650	1473	2801	47	1184	956	754	749	1193	2591	1455	754	1144	907	1765	1134	2627	960	951	1173
F.RL15000281	1462	2271	810	878	844	7	889	2100	824	880	1940	1301	1830	948	931	912	2604	1979	1079	1670	2623	2156	1871	2030	2675	1667	1683	1671	1671	2253	930	843	925	0	2036	1723	1682	1672	1644	1848	1850	1594	1687	1826	2158	1696	1673	1602	3466	1887	1776	1712	1762	2015	3681	2219	1479	2331	1719	1737	2752	1253	1967	2076	914	1805	2007	910	1705	1980	3664	1654	2002	1926	1665	2151	1336	1618	1678	1582	2377	2618	965	1041	1862	1709	1678	2117	2437	2357	1687	2063	1810	1794	2029	2457	1910	1878	2143
F.RL15000288	1220	1208	911	963	920	1748	1007	1149	917	1080	1133	1932	1107	40	39	1132	2946	846	1277	2209	2796	2347	1089	1324	2774	1389	1386	1403	1379	1344	1126	1061	1105	2036	0	1411	1387	1393	2263	956	1087	1210	1411	939	2361	1407	1390	1339	3967	1074	1141	1411	1328	840	3097	1094	1333	1375	1363	1389	3134	1179	2042	2234	1071	2256	899	1092	1349	1127	3651	1374	429	1186	1383	1060	1449	1350	1388	1212	1289	2763	36	1179	1231	1402	1402	1230	2788	1248	1401	1409	1343	2257	1213	2787	1265	1248	991
F.RL15000292	38	1367	655	689	644	1518	714	1257	650	751	1081	2409	913	39	37	773	2392	1320	577	1976	3087	2923	1279	1408	3374	30	30	31	30	853	771	746	760	1723	1411	0	3	4	1539	1371	1271	873	4	1350	2953	32	29	28	3339	1043	1095	52	1111	1302	2455	1484	1764	1303	961	963	2494	1585	2440	2775	756	2008	1107	754	961	1441	4076	27	1416	1069	37	1496	1529	4	4	874	1461	2832	34	1226	869	15	27	1581	2865	1427	30	506	1105	2015	1425	3360	878	877	1224
F.RL15000293	37	1346	647	679	637	1494	706	1244	642	742	1068	2353	902	38	36	763	2385	1303	572	1926	3003	2859	1265	1381	3277	29	29	30	29	845	761	736	750	1682	1387	3	0	1	1489	1354	1257	853	1	1333	2889	31	28	27	3313	1034	1078	52	1092	1276	2449	1463	1715	1286	947	949	2489	1563	2408	2708	747	1960	1081	745	947	1417	4029	26	1392	1054	36	1470	1457	1	1	855	1441	2797	33	1172	858	14	26	1545	2767	1407	29	497	1086	1980	1403	3242	866	867	1198
F.RL15000294	38	1351	648	680	638	1488	706	1249	642	743	1073	2351	905	39	37	764	2378	1302	573	1899	3001	2858	1245	1364	3281	30	30	31	30	847	762	737	751	1672	1393	4	1	0	1497	1362	1237	838	0	1341	2888	32	29	28	3300	1035	1083	53	1074	1285	2439	1466	1709	1287	952	954	2479	1546	2411	2709	748	1942	1080	746	952	1400	3993	27	1402	1055	37	1478	1452	2	0	840	1446	2795	34	1179	859	15	27	1532	2773	1412	30	498	1095	1955	1385	3231	867	868	1197
F.RL15000298	1214	2222	1424	1555	1497	1386	1606	2070	1467	1662	2012	2068	1816	987	959	1734	2384	2179	1791	1580	2168	1996	2158	2244	2388	1497	1492	1490	1496	2100	1754	1601	1738	1644	2263	1539	1489	1497	0	2180	2151	1872	1506	2122	2007	1507	1495	1408	2510	2114	1905	1524	2041	2176	3438	2367	1516	2468	1900	1921	2498	1487	1608	1857	1718	1650	2011	1717	1870	2235	4065	1464	2279	2195	1498	2289	734	1460	1503	1851	2434	2518	972	57	2056	1518	1511	2471	1927	2374	1494	1855	2021	1653	2374	2209	2064	2098	2165
F.RL15000300	1159	1345	782	835	790	1586	859	1245	765	915	1273	2035	651	41	40	967	2810	942	1191	1837	2349	2195	1368	1301	2808	1343	1353	1361	1353	1534	962	902	943	1848	956	1371	1354	1362	2180	0	1347	1313	1371	0	2202	1375	1359	1285	3821	622	829	1378	984	316	2954	641	1247	1302	1053	1061	2993	1137	1872	2077	927	1896	1164	931	1050	1084	3643	1338	828	1250	1338	616	1447	1298	1345	1304	1466	2753	37	1201	849	1369	1338	1308	2602	1418	1358	1415	932	1880	1274	2509	877	882	1189
F.RL15000305	1034	1278	776	805	777	1615	827	1222	751	907	1172	1937	1298	60	58	932	2814	1137	1242	1899	2835	2492	51	1029	2785	1244	1245	1251	1241	1389	926	891	921	1850	1087	1271	1257	1237	2151	1347	0	771	1254	1342	2509	1235	1243	1174	3857	1167	1278	1274	1022	1012	3032	1233	1375	1411	1254	1278	3053	1221	2143	2382	899	1920	1013	911	1228	848	3678	1201	1215	845	1218	1196	1477	1212	1246	777	1407	2813	55	1208	1391	1253	1254	1393	2597	1349	1241	1336	1324	1933	384	2802	1416	1391	1134
F.RL15000332	685	1540	547	579	551	1404	599	1408	533	641	1245	2220	1151	55	53	673	2571	1201	933	1649	2846	2780	784	1202	3086	841	856	857	849	1525	662	635	650	1594	1210	873	853	838	1872	1313	771	0	860	1287	2806	845	863	790	3580	980	1151	886	752	1209	2702	1497	1674	1675	885	897	2729	1478	2348	2637	647	1687	1138	648	861	1117	3957	828	1365	1087	848	1524	1488	813	845	1	1701	2799	50	1226	1253	857	848	1480	2820	1648	842	1312	1048	1687	928	2917	1252	1248	1258
F.RL15000334	38	1367	647	682	636	1500	707	1256	642	744	1084	2382	911	39	37	765	2381	1318	572	1939	3040	2899	1262	1397	3317	30	30	31	30	853	764	739	753	1687	1411	4	1	0	1506	1371	1254	860	0	1350	2929	32	29	28	3325	1043	1091	52	1099	1299	2453	1485	1737	1307	963	965	2492	1577	2436	2751	750	1970	1097	747	963	1428	4037	27	1417	1066	37	1497	1479	2	0	862	1461	2809	34	1194	860	15	28	1574	2809	1428	30	506	1103	1982	1411	3291	869	865	1214
